Experiment: Mar_4_Turb_expt vial 6, Thu Mar  4 17:36:03 2021
0.0012,167
0.0063,168
0.0118,168
0.0175,169
0.0229,168
0.0286,170
0.034,167
0.0397,168
0.0451,169
0.0508,170
0.0562,169
0.0619,165
0.0673,170
0.073,169
0.0786,168
0.084,169
0.0897,170
0.0951,169
0.1007,170
0.1063,169
0.112,169
0.1174,168
0.1231,170
0.1285,172
0.1341,171
0.1395,168
0.1452,168
0.1506,168
0.1563,170
0.162,171
0.1674,172
0.1729,171
0.1786,171
0.184,171
0.1897,172
0.1961,170
0.2007,170
0.2064,168
0.2119,171
0.2174,171
0.2228,171
0.2285,171
0.234,170
0.2397,171
0.2452,173
0.2507,171
0.2564,171
0.2618,171
0.2675,171
0.2729,171
0.2786,172
0.284,169
0.2897,171
0.2951,169
0.3007,171
0.3064,171
0.3131,169
0.3173,171
0.3238,170
0.3301,171
0.3341,170
0.3398,170
0.3451,172
0.3508,170
0.3562,169
0.3619,169
0.3673,173
0.373,172
0.3786,171
0.384,172
0.3897,169
0.3951,169
0.4008,169
0.4065,171
0.4119,172
0.4173,169
0.423,172
0.4284,170
0.4341,172
0.4395,170
0.4452,173
0.4506,171
0.4563,170
0.4619,170
0.4673,169
0.473,171
0.4784,172
0.4841,171
0.4896,172
0.4953,169
0.5007,171
0.5063,171
0.5117,171
0.5174,169
0.5231,172
0.5285,170
0.5342,171
0.5396,169
0.5452,170
0.5506,174
0.5563,169
0.5618,171
0.5675,170
0.5729,169
0.5785,168
0.5839,172
0.5896,169
0.5953,171
0.6007,171
0.6064,169
0.6118,170
0.6175,168
0.6229,169
0.6286,170
0.6342,170
0.6396,170
0.6453,172
0.6507,169
0.6564,171
0.6618,169
0.6675,172
0.6729,170
0.6786,169
0.684,170
0.6896,171
0.6953,169
0.7007,169
0.7064,169
0.7118,172
0.7175,172
0.7229,171
0.7286,170
0.734,169
0.7397,170
0.7451,171
0.7508,171
0.7562,170
0.7619,170
0.7675,172
0.7729,170
0.7786,170
0.784,170
0.7897,171
0.7953,171
0.8007,171
0.8062,170
0.8119,169
0.8173,171
0.823,169
0.8287,171
0.8341,171
0.8397,170
0.8451,171
0.8508,170
0.8562,171
0.8619,170
0.8676,170
0.873,171
0.8785,170
0.8841,167
0.8896,170
0.8952,172
0.9007,171
0.9063,170
0.912,167
0.9174,169
0.9231,171
0.9285,171
0.9342,169
0.9396,170
0.9453,170
0.9507,172
0.9564,171
0.9618,170
0.9675,173
0.9731,171
0.9785,170
0.9842,172
0.9896,169
0.9953,171
1.0064,171
1.0118,172
1.0174,170
1.0231,168
1.0285,172
1.0342,173
1.0396,173
1.0453,169
1.0507,168
1.0564,169
1.0618,169
1.0675,171
1.0729,172
1.0786,170
1.084,170
1.0897,169
1.0951,170
1.1008,168
1.1062,170
1.1119,172
1.1176,170
1.123,171
1.1287,171
1.1341,169
1.1398,169
1.1451,170
1.1508,170
1.1563,170
1.1619,171
1.1673,170
1.173,165
1.1785,168
1.1841,170
1.1896,169
1.1952,170
1.2007,168
1.2064,171
1.212,169
1.2174,171
1.2231,167
1.2287,170
1.2341,169
1.2398,168
1.2452,172
1.2509,170
1.2563,169
1.2619,168
1.2674,170
1.2731,169
1.2785,170
1.2842,171
1.2897,166
1.2951,170
1.3008,169
1.3062,170
1.3119,174
1.3176,172
1.323,170
1.3284,169
1.3343,168
1.3396,169
1.3452,170
1.3509,171
1.3563,171
1.3618,171
1.3675,172
1.3729,169
1.3786,171
1.384,169
1.3896,170
1.3952,172
1.4007,172
1.4064,171
1.4118,171
1.4175,170
1.423,173
1.4287,171
1.4341,170
1.4396,172
1.4453,171
1.4509,172
1.4564,169
1.4618,171
1.4674,175
1.473,172
1.4785,170
1.4841,171
1.4898,168
1.4952,169
1.5007,169
1.5064,169
1.512,170
1.5173,168
1.523,170
1.5284,172
1.5341,169
1.5398,169
1.5451,170
1.5508,171
1.5565,171
1.5619,169
1.5674,169
1.5729,173
1.5784,171
1.584,171
1.5897,172
1.5952,171
1.6007,174
1.6064,171
1.6118,173
1.6175,173
1.6229,170
1.6285,170
1.6343,172
1.6397,172
1.6453,172
1.6507,169
1.6564,170
1.6618,171
1.6675,169
1.6729,170
1.6786,169
1.6842,172
1.6896,170
1.6953,173
1.7007,169
1.7063,171
1.7119,171
1.7173,171
1.723,171
1.7287,170
1.7341,170
1.7398,170
1.7452,172
1.7508,165
1.7562,171
1.7619,171
1.7676,174
1.773,172
1.7785,170
1.7842,169
1.7896,168
1.7953,170
1.8007,170
1.8063,169
1.812,172
1.8174,169
1.8231,172
1.8285,170
1.8342,170
1.8396,172
1.8453,172
1.8507,171
1.8563,169
1.862,171
1.8674,172
1.8731,172
1.8785,170
1.8842,173
1.8896,172
1.8952,172
1.9007,172
1.9064,173
1.9118,170
1.9175,170
1.9231,172
1.9285,170
1.9342,171
1.9396,171
1.9453,172
1.9507,173
1.9564,172
1.9618,173
1.9675,173
1.9729,170
1.9786,171
1.9842,172
1.9896,173
1.9953,173
2.0007,171
23.6681,168
