Experiment: Mar_4_Turb_expt vial 15, Thu Mar  4 17:36:03 2021
0.0012,168
0.0063,169
0.0118,169
0.0175,169
0.0229,168
0.0286,170
0.034,171
0.0397,169
0.0451,169
0.0508,167
0.0562,171
0.0619,169
0.0673,170
0.073,168
0.0786,170
0.084,168
0.0897,167
0.0951,168
0.1007,170
0.1063,168
0.112,169
0.1174,169
0.1231,170
0.1285,172
0.1341,171
0.1395,169
0.1452,173
0.1506,170
0.1563,170
0.162,173
0.1674,170
0.1729,174
0.1786,173
0.184,169
0.1897,170
0.1961,170
0.2007,171
0.2064,169
0.2119,169
0.2174,171
0.2228,168
0.2285,170
0.234,168
0.2397,169
0.2452,169
0.2507,172
0.2564,171
0.2618,170
0.2675,172
0.2729,173
0.2786,170
0.284,169
0.2897,170
0.2951,170
0.3007,169
0.3064,169
0.3131,170
0.3173,169
0.3238,170
0.3301,170
0.3341,170
0.3398,171
0.3451,172
0.3508,172
0.3562,171
0.3619,169
0.3673,169
0.373,170
0.3786,170
0.384,170
0.3897,172
0.3951,168
0.4008,167
0.4065,168
0.4119,171
0.4173,171
0.423,172
0.4284,170
0.4341,170
0.4395,168
0.4452,169
0.4506,170
0.4563,170
0.4619,171
0.4673,172
0.473,171
0.4784,169
0.4841,171
0.4896,171
0.4953,172
0.5007,170
0.5063,170
0.5117,172
0.5174,168
0.5231,171
0.5285,169
0.5342,170
0.5396,169
0.5452,172
0.5506,169
0.5563,169
0.5618,172
0.5675,171
0.5729,170
0.5785,168
0.5839,173
0.5896,169
0.5953,170
0.6007,172
0.6064,166
0.6118,170
0.6175,172
0.6229,168
0.6286,171
0.6342,167
0.6396,170
0.6453,171
0.6507,172
0.6564,169
0.6618,169
0.6675,171
0.6729,170
0.6786,172
0.684,172
0.6896,171
0.6953,172
0.7007,170
0.7064,171
0.7118,170
0.7175,169
0.7229,169
0.7286,170
0.734,170
0.7397,168
0.7451,170
0.7508,168
0.7562,170
0.7619,170
0.7675,172
0.7729,171
0.7786,173
0.784,170
0.7897,170
0.7953,166
0.8007,167
0.8062,170
0.8119,170
0.8173,169
0.823,170
0.8287,171
0.8341,169
0.8397,167
0.8451,169
0.8508,171
0.8562,171
0.8619,172
0.8676,170
0.873,172
0.8785,169
0.8841,170
0.8896,170
0.8952,169
0.9007,170
0.9063,168
0.912,170
0.9174,169
0.9231,171
0.9285,171
0.9342,170
0.9396,169
0.9453,169
0.9507,168
0.9564,171
0.9618,169
0.9675,169
0.9731,171
0.9785,171
0.9842,172
0.9896,172
0.9953,172
1.0064,171
1.0118,172
1.0174,168
1.0231,171
1.0285,168
1.0342,171
1.0396,169
1.0453,171
1.0507,171
1.0564,168
1.0618,170
1.0675,171
1.0729,171
1.0786,171
1.084,171
1.0897,171
1.0951,171
1.1008,171
1.1062,169
1.1119,169
1.1176,168
1.123,169
1.1287,169
1.1341,169
1.1398,169
1.1451,170
1.1508,170
1.1563,171
1.1619,171
1.1673,169
1.173,169
1.1785,168
1.1841,169
1.1896,167
1.1952,169
1.2007,170
1.2064,170
1.212,168
1.2174,170
1.2231,170
1.2287,168
1.2341,169
1.2398,170
1.2452,170
1.2509,168
1.2563,168
1.2619,169
1.2674,169
1.2731,167
1.2785,169
1.2842,167
1.2897,171
1.2951,168
1.3008,168
1.3062,169
1.3119,171
1.3176,169
1.323,170
1.3284,169
1.3343,173
1.3396,167
1.3452,170
1.3509,171
1.3563,169
1.3618,169
1.3675,170
1.3729,169
1.3786,170
1.384,170
1.3896,168
1.3952,171
1.4007,171
1.4064,169
1.4118,170
1.4175,170
1.423,170
1.4287,170
1.4341,168
1.4396,168
1.4453,171
1.4509,164
1.4564,172
1.4618,171
1.4674,170
1.473,173
1.4785,171
1.4841,170
1.4898,169
1.4952,169
1.5007,170
1.5064,168
1.512,167
1.5173,171
1.523,171
1.5284,171
1.5341,172
1.5398,169
1.5451,171
1.5508,169
1.5565,169
1.5619,169
1.5674,171
1.5729,172
1.5784,170
1.584,172
1.5897,169
1.5952,172
1.6007,172
1.6064,170
1.6118,170
1.6175,171
1.6229,171
1.6285,169
1.6343,172
1.6397,173
1.6453,170
1.6507,169
1.6564,170
1.6618,172
1.6675,170
1.6729,170
1.6786,172
1.6842,172
1.6896,171
1.6953,168
1.7007,172
1.7063,170
1.7119,170
1.7173,168
1.723,171
1.7287,170
1.7341,170
1.7398,170
1.7452,172
1.7508,171
1.7562,172
1.7619,170
1.7676,171
1.773,169
1.7785,172
1.7842,168
1.7896,169
1.7953,171
1.8007,170
1.8063,171
1.812,170
1.8174,169
1.8231,168
1.8285,168
1.8342,170
1.8396,172
1.8453,171
1.8507,172
1.8563,172
1.862,171
1.8674,169
1.8731,173
1.8785,171
1.8842,169
1.8896,172
1.8952,175
1.9007,170
1.9064,169
1.9118,168
1.9175,171
1.9231,171
1.9285,170
1.9342,171
1.9396,171
1.9453,171
1.9507,171
1.9564,172
1.9618,172
1.9675,173
1.9729,170
1.9786,171
1.9842,171
1.9896,175
1.9953,172
2.0007,171
23.6681,165
