Experiment: Apr28_cal_tst_expt vial 12, Thu Apr 28 17:02:30 2022
0.0027,1890
0.0078,1894
0.0131,1891
0.0188,1894
0.0244,1895
0.03,1896
0.0354,1896
0.041,1895
0.0466,1898
0.052,1896
0.0576,1899
0.0632,1900
0.0689,1899
0.0742,1900
0.0799,1901
0.0855,1901
0.0911,1904
0.0964,1901
0.1021,1903
0.1077,1904
0.1134,1903
0.1187,1904
0.1243,1906
0.1299,1906
0.1356,1907
0.1409,1908
0.1465,1910
0.1521,1910
0.1577,1910
0.1633,1912
0.1687,1913
0.1743,1914
0.1799,1912
0.1855,1915
0.1909,1917
0.1965,1916
0.2022,1918
0.2078,1919
0.2131,1919
0.2188,1921
0.2244,1921
0.23,1920
0.2354,1923
0.241,1923
0.2467,1925
0.252,1926
0.2577,1925
0.2633,1927
0.2689,1930
0.2743,1928
0.2799,1929
0.2855,1930
0.2911,1931
0.2965,1930
0.3021,1931
0.3078,1930
0.3134,1933
0.3187,1932
0.3243,1935
0.33,1935
0.3353,1937
0.341,1934
0.3466,1936
0.3522,1941
0.3576,1939
0.3632,1937
0.3688,1940
0.3745,1938
0.3798,1936
0.3854,1940
0.391,1938
0.3967,1938
0.4023,1942
0.4076,1942
0.4133,1943
0.4189,1943
0.4243,1945
0.4299,1944
0.4355,1944
0.4409,1944
0.4465,1944
0.4521,1945
0.4578,1947
0.4631,1946
0.4688,1944
0.4744,1946
0.48,1947
0.4854,1949
0.491,1950
0.4966,1949
0.5022,1949
0.5076,1950
0.5132,1949
0.5188,1949
0.5245,1951
0.5298,1951
0.5354,1953
0.541,1950
0.5467,1952
0.552,1951
0.5576,1952
0.5633,1954
0.5689,1955
0.5742,1954
0.5799,1954
0.5854,1954
0.591,1957
0.5966,1955
0.6022,1955
0.6076,1956
0.6132,1957
0.6188,1957
0.6244,1957
0.63,1959
0.6354,1955
0.641,1959
0.6466,1958
0.6522,1959
0.6576,1960
0.6632,1960
0.6688,1958
0.6744,1960
0.6798,1960
0.6854,1962
0.691,1961
0.6966,1962
0.7022,1959
0.7076,1960
0.7132,1963
0.7188,1962
0.7244,1961
0.73,1964
0.7354,1962
0.741,1965
0.7467,1964
0.7522,1964
0.7576,1964
0.7632,1964
0.7688,1965
0.7744,1963
0.7798,1967
0.7854,1965
0.791,1964
0.7966,1965
0.8023,1965
0.8076,1967
0.8132,1968
0.8188,1968
0.8245,1968
0.8298,1968
0.8354,1969
0.8411,1966
0.8467,1969
0.852,1969
0.8576,1970
0.8633,1971
0.8689,1970
0.8742,1971
0.8799,1969
0.8855,1970
0.8911,1969
0.8967,1971
0.9021,1971
0.9077,1971
0.9133,1972
0.919,1972
0.9243,1970
0.9299,1971
0.9355,1972
0.9409,1971
0.9465,1972
0.9522,1972
0.9578,1969
0.9631,1973
0.9688,1973
0.9744,1972
0.98,1974
0.9854,1972
0.991,1973
0.9966,1972
1.0022,1975
1.0076,1975
1.0133,1974
1.0188,1975
1.0244,1974
