Experiment: Apr27_cal_tst_expt vial 15, Wed Apr 27 17:25:27 2022
0.004,54155
0.0091,54167
0.0148,54142
0.0201,54127
0.0258,54145
0.0314,54138
0.0368,54137
0.0424,54120
0.0481,54123
0.0534,54136
0.0591,54121
0.0647,54140
0.0704,54077
0.0757,54126
0.0813,54101
0.0869,54102
0.0926,54104
0.0979,54113
0.1035,54086
0.1092,54071
0.1145,54081
0.1202,54086
0.1258,54064
0.1314,54076
0.1368,54070
0.1424,54072
0.148,54033
0.1537,54038
0.159,54066
0.1647,54051
0.1703,54083
0.1756,54071
0.1813,54093
0.1869,54078
0.1925,54065
0.1979,54005
0.2035,54072
0.2091,54071
0.2148,54063
0.2201,54068
0.2257,54026
0.2314,54023
0.2368,54044
0.2424,54078
0.2481,54070
0.2537,54055
0.259,54028
0.2647,54057
0.2703,54057
0.2757,54058
0.2813,54050
0.2869,54065
0.2923,54058
0.2979,54052
0.3035,54051
0.3092,54063
0.3148,54053
0.3202,54054
0.3258,54045
0.3312,54059
0.3368,54047
0.3424,54046
0.3481,54047
0.3534,54060
0.3591,54061
0.3647,54056
0.3701,54084
0.3757,54090
0.3813,54085
0.387,54079
0.3923,54091
0.3979,54103
0.4036,54086
0.4092,54093
0.4146,54105
0.4202,54087
0.4258,54081
0.4314,53918
0.4368,53907
0.4424,53913
0.448,53905
0.4537,53913
0.459,53880
0.4647,53887
0.4703,53868
0.4757,53888
0.4813,53870
0.4869,53882
0.4926,53862
0.4979,53862
0.5036,53878
0.5092,53872
0.5146,53870
0.5202,53863
0.5259,53891
0.5312,53874
0.5369,53875
0.5426,53871
0.5479,53876
0.5536,53880
0.559,53862
0.5646,53863
0.5703,53852
0.5757,53869
0.5813,53866
0.587,53854
0.5924,53860
0.5981,53876
0.6037,53859
0.6091,53850
0.6148,53857
0.6201,53863
0.6257,53856
0.6314,53839
0.6368,53854
0.6424,53863
0.6481,53838
0.6535,53844
0.6591,53858
0.6648,53856
0.6701,53873
0.6758,53853
0.6814,53847
0.687,53862
0.6924,53851
0.698,53839
0.7037,53863
0.709,53857
0.7147,53846
0.7203,53840
0.7256,53857
0.7313,53857
0.7369,53837
0.7425,53844
0.7481,53856
0.7537,53843
0.759,53848
0.7647,53836
0.7703,53834
0.7759,53859
0.7813,53839
0.7869,53838
0.7925,53847
0.7979,53848
0.8035,53824
0.8091,53844
0.8147,53849
0.8203,53834
0.8259,53837
0.8313,53830
0.8369,53846
0.8425,53839
0.8479,53831
0.8535,53840
0.8592,53834
0.8648,53831
0.8701,53837
0.8758,53851
0.8814,53839
0.887,53837
0.8924,53835
0.898,53835
0.9037,53830
0.909,53833
0.9147,53830
0.9203,53834
0.9259,53842
0.9313,53846
0.9369,53837
0.9425,53841
0.9479,53847
0.9535,53818
0.9591,53842
0.9648,53838
0.9701,53841
0.9757,53847
0.9814,53835
0.987,53849
0.9924,53853
0.998,53838
1.0036,53842
1.0093,53849
1.0146,53843
1.0203,53839
1.0259,53837
1.0313,53838
1.0369,53837
1.0426,53823
1.0482,53830
1.0535,53834
1.0592,53835
1.0648,53833
1.0704,53834
1.0757,53828
1.0814,53832
1.087,53826
1.0926,53842
1.098,53842
1.1036,53828
1.1092,53825
1.1146,53849
1.1202,53842
1.1258,53820
1.1315,53815
1.1369,53852
1.1425,53824
1.1481,53839
1.1535,53838
1.1592,53845
1.1648,53834
1.1704,53842
1.1758,53837
1.1814,53838
1.1871,53836
1.1924,53825
1.1981,53856
1.2037,53845
1.2091,53835
1.2147,53833
1.2203,53842
1.2259,53840
1.2313,53843
1.2369,53842
1.2425,53847
1.2482,53842
1.2535,53829
1.2592,53837
1.2648,53844
1.2702,53839
1.2758,53826
1.2814,53842
1.2871,53843
1.2924,53833
1.2981,53839
1.3037,53853
1.309,53848
1.3146,53844
1.3202,53839
1.3259,53841
1.3314,53853
1.3371,53842
1.3424,53841
1.3481,53835
1.3537,53844
1.3591,53830
1.3647,53837
1.3702,53851
1.3759,53836
1.3815,53833
1.3868,53841
1.3925,53856
1.398,53834
1.4037,53847
1.4093,53841
1.4146,53846
1.4203,53843
1.4258,53835
1.4315,53857
1.4368,53863
1.4425,53852
1.4481,53842
1.4537,53851
1.4593,53850
1.4647,53828
1.4703,53835
1.4759,53836
1.4815,53840
1.4868,53837
1.4925,53845
1.4981,53847
1.5037,53838
1.5091,53848
1.5147,53840
1.5204,53840
1.5259,53837
1.5315,53839
1.5369,53844
1.5425,53840
1.5481,53824
1.5538,53822
1.5591,53837
1.5647,53831
1.5704,53828
1.576,53836
1.5814,53840
1.587,53824
1.5924,53832
1.598,53827
1.6036,53827
1.6093,53833
1.6149,53819
1.6203,53827
1.6259,53829
1.6316,53822
1.6369,53829
1.6425,53835
1.6481,53834
1.6535,53832
1.6591,53826
1.6647,53830
1.6703,53827
1.676,53828
1.6813,53825
1.6869,53835
1.6926,53840
1.6982,53828
1.7035,53831
1.7092,53828
1.7148,53829
1.7204,53820
1.7258,53832
1.7314,53830
1.737,53830
1.7427,53823
1.748,53835
1.7536,53846
1.7593,53824
1.7648,53820
1.7704,53834
1.7758,53831
1.7814,53816
1.7871,53819
1.7924,53828
1.7981,53832
1.8037,53835
1.8093,53824
1.8147,53832
1.8203,53834
