Experiment: Apr27_cal_tst_expt vial 12, Wed Apr 27 17:25:27 2022
0.004,55763
0.0091,55750
0.0148,55755
0.0201,55760
0.0258,55757
0.0314,55756
0.0368,55761
0.0424,55757
0.0481,55763
0.0534,55760
0.0591,55754
0.0647,55762
0.0704,55765
0.0757,55762
0.0813,55759
0.0869,55764
0.0926,55760
0.0979,55763
0.1035,55763
0.1092,55767
0.1145,55765
0.1202,55771
0.1258,55769
0.1314,55771
0.1368,55773
0.1424,55771
0.148,55762
0.1537,55772
0.159,55782
0.1647,55865
0.1703,55836
0.1756,55842
0.1813,55835
0.1869,55836
0.1925,55837
0.1979,55835
0.2035,55834
0.2091,55834
0.2148,55839
0.2201,55837
0.2257,55836
0.2314,55832
0.2368,55828
0.2424,55832
0.2481,55833
0.2537,55830
0.259,55832
0.2647,55835
0.2703,55839
0.2757,55838
0.2813,55840
0.2869,55843
0.2923,55838
0.2979,55844
0.3035,55847
0.3092,55851
0.3148,55847
0.3202,55849
0.3258,55851
0.3312,55856
0.3368,55857
0.3424,55858
0.3481,55857
0.3534,55857
0.3591,55858
0.3647,55858
0.3701,55858
0.3757,55861
0.3813,55862
0.387,55861
0.3923,55866
0.3979,55865
0.4036,55860
0.4092,55866
0.4146,55863
0.4202,55863
0.4258,55861
0.4314,55867
0.4368,55859
0.4424,55864
0.448,55866
0.4537,55862
0.459,55859
0.4647,55857
0.4703,55858
0.4757,55861
0.4813,55857
0.4869,55860
0.4926,55855
0.4979,55854
0.5036,55854
0.5092,55852
0.5146,55852
0.5202,55854
0.5259,55857
0.5312,55856
0.5369,55855
0.5426,55849
0.5479,55850
0.5536,55853
0.559,55851
0.5646,55849
0.5703,55890
0.5757,55897
0.5813,55892
0.587,55890
0.5924,55886
0.5981,55896
0.6037,55887
0.6091,55887
0.6148,55890
0.6201,55890
0.6257,55892
0.6314,55890
0.6368,55894
0.6424,55891
0.6481,55895
0.6535,55891
0.6591,55892
0.6648,55891
0.6701,55890
0.6758,55896
0.6814,55896
0.687,55895
0.6924,55891
0.698,55894
0.7037,55899
0.709,55900
0.7147,55896
0.7203,55899
0.7256,55900
0.7313,55902
0.7369,55898
0.7425,55896
0.7481,55897
0.7537,55893
0.759,55894
0.7647,55900
0.7703,55898
0.7759,55897
0.7813,55892
0.7869,55895
0.7925,55898
0.7979,55899
0.8035,55896
0.8091,55899
0.8147,55898
0.8203,55903
0.8259,55901
0.8313,55898
0.8369,55899
0.8425,55897
0.8479,55896
0.8535,55900
0.8592,55897
0.8648,55894
0.8701,55901
0.8758,55891
0.8814,55901
0.887,55902
0.8924,55900
0.898,55898
0.9037,55898
0.909,55898
0.9147,55897
0.9203,55901
0.9259,55904
0.9313,55901
0.9369,55906
0.9425,55906
0.9479,55903
0.9535,55906
0.9591,55902
0.9648,55898
0.9701,55898
0.9757,55894
0.9814,55901
0.987,55903
0.9924,55904
0.998,55906
1.0036,55906
1.0093,55903
1.0146,55906
1.0203,55904
1.0259,55904
1.0313,55901
1.0369,55904
1.0426,55906
1.0482,55908
1.0535,55908
1.0592,55902
1.0648,55904
1.0704,55907
1.0757,55907
1.0814,55912
1.087,55910
1.0926,55904
1.098,55907
1.1036,55908
1.1092,55908
1.1146,55903
1.1202,55906
1.1258,55906
1.1315,55906
1.1369,55905
1.1425,55907
1.1481,55902
1.1535,55905
1.1592,55904
