Experiment: Apr27_cal_tst_expt vial 5, Wed Apr 27 17:25:27 2022
0.004,1633
0.0091,1635
0.0148,1636
0.0201,1629
0.0258,1619
0.0314,1607
0.0368,1607
0.0424,1614
0.0481,1613
0.0534,1608
0.0591,1613
0.0647,1611
0.0704,1606
0.0757,1612
0.0813,1611
0.0869,1606
0.0926,1613
0.0979,1608
0.1035,1608
0.1092,1613
0.1145,1607
0.1202,1610
0.1258,1611
0.1314,1606
0.1368,1613
0.1424,1612
0.148,1606
0.1537,1610
0.159,1610
0.1647,1606
0.1703,1611
0.1756,1611
0.1813,1609
0.1869,1613
0.1925,1612
0.1979,1608
0.2035,1610
0.2091,1609
0.2148,1608
0.2201,1612
0.2257,1608
0.2314,1609
0.2368,1614
0.2424,1607
0.2481,1612
0.2537,1612
0.259,1607
0.2647,1612
0.2703,1611
0.2757,1606
0.2813,1609
0.2869,1613
0.2923,1606
0.2979,1611
0.3035,1611
0.3092,1606
0.3148,1611
0.3202,1609
0.3258,1608
0.3312,1611
0.3368,1608
0.3424,1606
0.3481,1614
0.3534,1610
0.3591,1608
0.3647,1613
0.3701,1608
0.3757,1607
0.3813,1611
0.387,1612
0.3923,1608
0.3979,1612
0.4036,1609
0.4092,1609
0.4146,1612
0.4202,1607
0.4258,1612
0.4314,1611
0.4368,1609
0.4424,1613
0.448,1608
0.4537,1609
0.459,1611
0.4647,1609
0.4703,1611
0.4757,1611
0.4813,1608
0.4869,1612
0.4926,1610
0.4979,1610
0.5036,1612
0.5092,1608
0.5146,1611
0.5202,1611
0.5259,1609
0.5312,1612
0.5369,1610
0.5426,1608
0.5479,1613
0.5536,1609
0.559,1609
0.5646,1613
0.5703,1609
0.5757,1610
0.5813,1612
0.587,1607
0.5924,1610
0.5981,1612
0.6037,1608
0.6091,1609
0.6148,1612
0.6201,1606
0.6257,1610
0.6314,1614
0.6368,1607
0.6424,1611
0.6481,1614
0.6535,1608
0.6591,1613
0.6648,1612
0.6701,1610
0.6758,1611
0.6814,1613
0.687,1608
0.6924,1613
0.698,1610
0.7037,1606
0.709,1612
0.7147,1608
0.7203,1609
0.7256,1612
0.7313,1607
0.7369,1611
0.7425,1612
0.7481,1608
0.7537,1613
0.759,1611
0.7647,1609
0.7703,1612
0.7759,1610
0.7813,1606
0.7869,1612
0.7925,1611
0.7979,1608
0.8035,1613
0.8091,1610
0.8147,1607
0.8203,1612
0.8259,1610
0.8313,1608
0.8369,1613
0.8425,1609
0.8479,1607
0.8535,1615
0.8592,1608
0.8648,1611
0.8701,1614
0.8758,1607
0.8814,1611
0.887,1613
0.8924,1608
0.898,1608
0.9037,1613
0.909,1607
0.9147,1612
0.9203,1612
0.9259,1607
0.9313,1611
0.9369,1612
0.9425,1606
0.9479,1612
0.9535,1611
0.9591,1607
0.9648,1612
0.9701,1610
0.9757,1606
0.9814,1611
0.987,1612
0.9924,1607
0.998,1612
1.0036,1609
1.0093,1607
1.0146,1611
1.0203,1612
1.0259,1608
1.0313,1610
1.0369,1611
1.0426,1606
1.0482,1613
1.0535,1610
1.0592,1607
1.0648,1612
1.0704,1611
1.0757,1609
1.0814,1613
1.087,1611
1.0926,1606
1.098,1611
1.1036,1612
1.1092,1607
1.1146,1610
1.1202,1613
1.1258,1608
1.1315,1612
1.1369,1612
1.1425,1609
1.1481,1611
1.1535,1609
1.1592,1608
1.1648,1612
1.1704,1612
1.1758,1607
1.1814,1612
1.1871,1609
1.1924,1608
1.1981,1613
1.2037,1610
1.2091,1608
1.2147,1611
1.2203,1608
1.2259,1609
1.2313,1613
1.2369,1608
1.2425,1608
1.2482,1611
1.2535,1608
1.2592,1609
1.2648,1614
1.2702,1609
1.2758,1609
1.2814,1610
1.2871,1609
1.2924,1611
1.2981,1611
1.3037,1608
1.309,1613
1.3146,1608
1.3202,1609
1.3259,1611
1.3314,1608
1.3371,1611
1.3424,1612
1.3481,1610
1.3537,1610
1.3591,1610
1.3647,1607
1.3702,1611
1.3759,1610
1.3815,1606
1.3868,1611
1.3925,1610
1.398,1608
1.4037,1611
1.4093,1608
1.4146,1608
1.4203,1613
1.4258,1608
1.4315,1610
1.4368,1612
1.4425,1608
1.4481,1613
1.4537,1610
1.4593,1609
1.4647,1612
1.4703,1608
1.4759,1610
1.4815,1612
1.4868,1609
1.4925,1611
1.4981,1610
1.5037,1607
1.5091,1612
1.5147,1612
1.5204,1607
1.5259,1612
1.5315,1610
1.5369,1609
1.5425,1610
1.5481,1607
1.5538,1609
1.5591,1613
1.5647,1609
1.5704,1608
1.576,1613
1.5814,1608
1.587,1609
1.5924,1612
1.598,1608
1.6036,1610
1.6093,1610
1.6149,1607
1.6203,1612
1.6259,1611
1.6316,1607
1.6369,1612
1.6425,1611
1.6481,1606
1.6535,1613
1.6591,1610
1.6647,1607
1.6703,1613
1.676,1610
1.6813,1606
1.6869,1612
1.6926,1612
1.6982,1607
1.7035,1611
1.7092,1610
1.7148,1608
1.7204,1613
1.7258,1610
1.7314,1609
1.737,1615
1.7427,1607
1.748,1608
1.7536,1613
1.7593,1607
1.7648,1609
1.7704,1614
1.7758,1608
1.7814,1610
1.7871,1610
1.7924,1607
1.7981,1611
1.8037,1612
1.8093,1606
1.8147,1610
1.8203,1613
1.8259,1611
1.8313,1608
1.8369,1613
1.8426,1610
1.8482,1607
1.8535,1613
1.8592,1609
1.8648,1609
1.8704,1613
1.8758,1609
1.8814,1611
1.8871,1614
1.8924,1606
1.898,1611
1.9037,1614
1.9093,1606
1.9146,1609
1.9203,1617
1.9259,1607
1.9315,1610
1.9369,1613
1.9425,1607
1.9482,1612
1.9535,1610
1.9591,1608
1.9648,1612
1.9704,1610
1.9757,1608
1.9813,1613
1.987,1609
1.9926,1608
1.998,1612
2.0036,1608
2.0093,1610
2.0149,1614
2.0203,1607
2.0259,1609
2.0315,1612
2.0369,1607
2.0425,1610
2.0481,1613
2.0538,1608
2.0591,1609
2.0648,1611
2.0704,1606
2.076,1609
2.0814,1612
2.087,1608
2.0926,1610
2.098,1612
2.1036,1608
2.1093,1611
2.1149,1610
2.1203,1609
2.1259,1612
2.1315,1611
2.1369,1606
2.1425,1613
2.1481,1610
2.1538,1606
2.1591,1612
2.1648,1611
2.1704,1609
2.176,1613
2.1813,1610
2.187,1608
2.1926,1611
2.198,1610
2.2036,1608
2.2092,1611
2.2149,1611
2.2202,1608
2.2259,1614
2.2315,1609
2.2371,1610
2.2425,1612
2.2481,1608
2.2538,1611
2.2591,1611
2.2648,1607
2.2704,1610
2.2757,1611
2.2814,1607
2.287,1610
2.2927,1612
2.298,1608
2.3036,1609
2.3093,1612
2.3149,1609
2.3203,1610
2.3259,1613
2.3315,1609
2.3369,1611
2.3425,1613
2.3481,1608
2.3538,1610
2.3591,1613
2.3648,1609
2.3704,1609
2.3759,1613
2.3816,1609
2.3869,1607
2.3925,1613
2.3982,1610
2.4038,1609
2.4092,1613
2.4148,1608
2.4204,1609
2.426,1613
2.4314,1606
2.437,1610
2.4427,1613
2.448,1607
2.4536,1610
2.4593,1614
2.4649,1607
2.4702,1613
2.4759,1612
2.4815,1607
2.4871,1612
2.4925,1610
2.4981,1609
2.5038,1613
2.5091,1609
2.5148,1610
2.5204,1613
2.5257,1610
2.5314,1608
2.537,1613
