Experiment: Feb_8_Batch_expt_zeroed vial 5, Mon Feb  8 17:45:11 2021
0.0049,1628
0.0103,1621
0.0159,1615
0.0213,1609
0.0269,1616
0.0326,1612
0.0382,1610
0.0436,1613
0.0492,1616
0.0546,1611
0.0602,1611
0.0659,1611
0.0715,1611
0.0769,1613
0.0826,1611
0.088,1609
0.0936,1614
0.0992,1610
0.1046,1612
0.1102,1615
0.1159,1610
0.1215,1614
0.1269,1614
0.1325,1610
0.1381,1613
0.1435,1614
0.1491,1607
0.1548,1613
0.1604,1613
0.1658,1607
0.1715,1611
0.1768,1612
0.1825,1611
0.1881,1612
0.1938,1611
0.2032,1611
0.2046,1616
0.2103,1610
0.216,1610
0.2213,1614
0.2269,1609
0.2359,1610
0.238,1619
0.2436,1609
0.2493,1613
0.2607,1609
0.2622,1611
0.2659,1613
0.2713,1610
0.282,1610
0.2827,1615
0.2881,1609
0.2937,1610
0.3039,1615
0.3046,1609
0.3103,1614
0.3159,1612
0.3254,1609
0.3271,1615
0.3324,1613
0.3381,1611
0.3437,1614
0.354,1611
0.3567,1609
0.3604,1614
0.3658,1609
0.3764,1610
0.3788,1613
0.3825,1609
0.3881,1612
0.398,1612
0.3991,1610
0.4047,1613
0.4104,1611
0.4158,1609
0.4214,1613
0.427,1610
0.4327,1611
0.438,1615
0.4437,1610
0.4493,1613
0.4547,1613
0.4603,1608
0.466,1614
0.4713,1611
0.477,1611
0.4826,1615
0.488,1611
0.4937,1611
0.4993,1615
0.5047,1609
0.5103,1614
0.5159,1612
0.5216,1610
0.5269,1614
0.5326,1610
0.5379,1610
0.5436,1612
0.5492,1608
0.5549,1613
0.5602,1611
0.5659,1610
0.5715,1614
0.5769,1608
0.5825,1611
0.5881,1613
0.5938,1612
0.5992,1614
0.6048,1610
0.6102,1614
0.6159,1613
0.6215,1610
0.6269,1613
0.6324,1611
0.6381,1610
0.6437,1612
0.6491,1611
0.6547,1613
0.6603,1612
0.666,1610
0.6713,1615
0.6769,1612
0.6826,1611
0.6882,1614
0.6935,1609
