Experiment: Apr28_cal_tst_expt vial 9, Thu Apr 28 17:02:30 2022
2.2244,46691
2.23,46576
2.2354,46557
2.241,46494
2.2466,46618
2.2522,46516
2.2576,46522
2.2632,46414
2.2688,46329
2.2744,46362
2.2801,46414
2.2854,46385
2.291,46385
2.2966,46200
2.3023,46261
2.3076,46161
2.3132,46337
2.3188,46224
2.3245,46268
2.3298,46160
2.3354,46081
2.341,46105
2.3467,45990
2.352,46013
2.3576,45999
2.3633,46029
2.3689,45987
2.3745,46016
2.3799,45967
2.3855,45911
2.3911,45986
2.3965,45855
2.4021,45869
2.4077,46010
2.4133,45717
2.4187,45751
2.4243,45832
2.4299,45906
2.4356,45672
2.4409,45622
2.4465,45625
2.4522,45692
2.4578,45507
2.4634,45461
2.4688,45532
2.4744,45488
2.48,45457
2.4854,45445
2.491,45432
2.4966,45390
2.5022,45341
2.5076,45443
2.5132,45388
2.5188,45290
2.5245,45242
2.5298,45323
2.5354,45283
2.5411,45096
2.5467,45152
2.552,45083
2.5577,45173
2.5633,45163
2.5689,44944
2.5743,44974
2.5799,45058
2.5855,44976
2.5911,44904
2.5965,44900
2.6021,44843
2.6077,44949
2.6133,44822
2.619,44810
2.6243,44778
2.6299,44790
2.6355,44736
2.6412,44673
2.6465,44641
2.6521,44605
2.6578,44661
2.6634,44580
2.6687,44488
2.6743,44534
2.68,44423
2.6856,44402
2.6911,44496
2.6965,44461
2.7021,44354
2.7077,44353
2.7134,44447
2.7187,44399
2.7243,44323
2.73,44353
2.7356,44242
2.7409,44209
2.7466,44141
2.7522,44085
2.7578,43985
2.7632,44186
2.7688,44018
2.7744,43965
2.7798,44116
2.7854,44020
2.7911,43920
2.7967,43868
2.8021,43869
2.8077,43822
2.8133,43763
2.8189,43749
2.8245,43815
2.8299,43817
2.8355,43821
2.8411,43655
2.8465,43692
2.8521,43601
2.8577,43675
2.8634,43499
2.8687,43620
2.8743,43494
2.8799,43608
2.8856,43476
2.8909,43369
2.8965,43396
2.9022,43311
2.9078,43258
2.9132,43299
2.9188,43232
2.9244,43190
2.93,43066
2.9354,43208
2.941,43108
2.9466,43351
2.9522,43089
2.9576,43090
2.9632,43078
2.9688,43005
2.9744,42973
2.98,42985
2.9854,42945
2.991,43084
2.9966,42917
3.0023,42855
3.0076,42795
3.0133,42811
3.0189,42791
3.0243,42789
3.0299,42804
3.0355,42686
3.0411,42753
3.0465,42572
3.0521,42567
3.0577,42639
3.0634,42504
3.0687,42549
3.0743,42473
3.08,42438
3.0856,42386
3.0909,42320
3.0966,42398
3.1022,42277
3.1078,42323
3.1132,42475
3.1188,42410
3.1244,42327
3.1301,42310
3.1354,42138
3.141,42154
3.1466,42156
3.1523,42209
3.1576,42170
3.1632,42214
3.1689,41974
3.1745,42182
3.1798,42010
3.1855,41969
3.1911,42093
3.1967,42002
3.2021,41993
3.2077,41771
3.2133,41850
3.2189,41883
3.2243,41882
3.2299,41898
3.2355,41590
3.2411,41788
3.2465,41636
3.2521,41640
3.2577,41667
3.2634,41833
3.2687,41626
3.2743,41518
3.28,41624
3.2856,41300
3.2912,41656
3.2966,41515
3.3022,41457
3.3078,41500
3.3132,41435
3.3188,41499
3.3244,41425
3.3298,41298
3.3354,41319
3.341,41319
3.3467,41427
3.352,41401
3.3577,41098
3.3633,41260
3.3689,41195
3.3745,41151
3.3799,41248
3.3855,41113
3.3911,41063
3.3967,41145
3.4021,41160
3.4077,41012
3.4133,41004
3.419,40869
3.4243,40969
3.4299,41001
3.4356,40940
3.4412,40947
3.4465,40913
3.4521,40883
3.4577,40812
3.4634,40936
3.4687,40802
3.4744,40770
3.48,40787
3.4856,40794
3.4909,40784
3.4966,40808
3.5022,40669
3.5078,40640
3.5132,40608
3.5188,40740
3.5244,40621
3.53,40544
3.5354,40577
3.541,40406
3.5466,40710
3.5523,40333
3.5576,40542
3.5632,40465
3.5689,40461
3.5745,40447
3.5799,40506
3.5855,40481
3.5911,40337
3.5967,40205
3.6021,40268
3.6077,40168
3.6133,40272
3.6187,40209
3.6243,40103
3.6298,40268
3.6355,39965
3.6411,40158
3.6467,40069
3.6521,40014
3.6576,40093
3.6633,40083
3.6689,39809
3.6745,40038
3.6799,40111
3.6854,39881
3.6911,39959
3.6967,39818
3.702,39926
3.7077,39691
3.7133,39871
3.7189,39750
3.7245,39676
3.7298,39689
3.7355,39804
3.7411,39838
3.7467,39681
3.7523,39726
3.7576,39604
3.7633,39459
3.7689,39591
3.7745,39591
3.7798,39548
3.7854,39542
3.7911,39548
3.7967,39503
3.8023,39411
3.8076,39588
3.8133,39389
3.8189,39323
3.8245,39228
3.8301,39306
3.8354,39237
3.8411,39286
3.8467,39223
3.8523,39322
3.8576,39071
3.8632,39199
3.8689,39110
3.8745,39082
3.8798,39164
3.8855,39034
3.8911,39147
3.8967,39005
3.9021,39109
3.9077,39104
3.9133,39085
3.9189,39091
3.9243,39005
3.9299,38863
3.9356,39043
3.9409,38822
3.9466,38678
3.9522,38931
3.9578,38822
3.9632,38708
3.9688,38833
3.9744,38827
3.98,38499
3.9857,38658
3.991,38646
3.9966,38636
4.0023,38652
4.0076,38501
4.0133,38576
4.0189,38544
4.0243,38460
4.0299,38579
4.0355,38511
4.0411,38442
4.0467,38335
4.0521,38454
4.0577,38447
4.0633,38267
4.0689,38409
4.0743,38281
4.0799,38208
4.0855,38276
4.0912,38255
4.0965,38155
4.1021,38186
4.1078,38235
4.1134,38226
4.1187,38175
4.1243,38110
4.1299,38168
4.1356,38088
4.1412,38016
4.1465,37976
4.1522,38019
4.1578,37827
4.1632,38164
4.1688,38037
4.1744,37983
4.18,37888
4.1854,37819
4.191,37912
4.1966,37843
4.2022,37896
4.2076,37905
4.2132,37862
4.2188,37877
4.2244,37676
4.2301,37808
4.2354,37678
4.241,37855
4.2466,37761
4.2523,37688
4.2576,37697
4.2632,37482
4.2689,37631
4.2745,37550
4.2798,37554
4.2855,37572
4.2911,37307
4.2967,37430
4.302,37512
4.3077,37278
4.3133,37497
4.3189,37399
4.3242,37422
4.3299,37357
4.3355,37359
4.3411,37365
4.3467,37394
4.3521,37482
4.3577,37220
4.3633,37198
4.3689,37248
4.3743,37127
4.3799,37238
4.3855,37213
4.3912,37121
4.3965,36882
4.4021,37027
4.4078,37026
4.4134,37109
4.4187,37093
4.4244,37074
4.43,36896
4.4356,37036
4.441,36921
4.4466,36960
4.4522,37032
4.4578,36938
4.4632,36978
4.4688,36896
4.4744,36839
4.48,36891
4.4857,36794
4.491,36819
4.4966,36780
4.5023,36692
4.5079,36663
4.5132,36726
4.5189,36683
4.5245,36595
4.5298,36510
4.5355,36617
4.5411,36743
4.5467,36614
4.5523,36628
4.5577,36648
4.5633,36572
4.5689,36511
4.5745,36443
4.5798,36504
4.5855,36570
4.5911,36666
4.5967,36301
4.6023,36322
4.6077,36379
4.6133,36353
4.6189,36353
4.6245,36427
4.6299,36402
4.6355,36283
4.6411,36211
4.6467,36287
4.6521,36268
4.6577,36226
4.6633,36195
4.669,36307
4.6743,36075
4.6799,36210
4.6856,36056
4.6912,36181
4.6965,36269
4.7022,36143
4.7078,36141
4.7134,35965
4.719,35923
4.7244,36017
4.73,35973
4.7356,36132
4.7413,35917
4.7466,35923
4.7522,35932
4.7579,35916
4.7632,35871
4.7688,35854
4.7745,35974
4.7801,35715
4.7854,35756
4.7911,35611
4.7967,35720
4.8023,35754
4.8077,35808
4.8133,35763
4.8189,35722
4.8245,35680
4.8299,35735
4.8355,35771
4.8411,35587
4.8467,35512
4.8521,35530
4.8577,35548
4.8633,35489
4.8689,35467
4.8746,35611
4.8799,35515
4.8855,35539
4.8912,35345
4.8968,35476
4.9021,35571
4.9077,35324
4.9133,35418
4.919,35583
4.9243,35586
4.9299,35307
4.9355,35432
4.9412,35319
4.9468,35260
4.9521,35367
4.9578,35263
4.9634,35265
4.969,35193
4.9744,35267
4.98,35274
4.9856,35181
4.9912,35169
4.9966,35183
5.0022,35189
5.0079,35155
5.0133,35012
5.0189,35138
5.0245,34911
5.0301,35001
5.0354,35132
5.041,35038
5.0467,34912
5.0523,34885
5.0579,34981
5.0632,34813
5.0689,34955
5.0745,34958
5.0801,34933
5.0855,34839
5.0911,34819
5.0967,34942
5.1024,34871
5.1077,34876
5.1133,34926
5.119,34939
5.1246,34947
5.1299,34740
5.1355,34683
5.1412,34837
5.1468,34721
5.1521,34622
5.1577,34688
5.1634,34535
5.169,34647
5.1746,34558
5.1799,34674
5.1855,34684
5.1912,34495
5.1968,34728
5.2021,34495
5.2077,34685
5.2133,34579
5.219,34686
5.2243,34556
5.2299,34513
5.2355,34549
5.2412,34398
5.2465,34558
5.2522,34502
5.2578,34422
5.2633,34445
5.269,34319
5.2746,34511
5.2799,34381
5.2856,34320
5.2911,34253
5.2968,34346
5.3024,34314
5.3077,34311
5.3133,34262
5.3188,34366
5.3244,34340
5.33,34218
5.3356,34404
5.3413,34252
5.3466,34288
5.3522,34193
5.3578,34221
5.3635,34216
5.3688,34383
5.3745,34054
5.3801,34116
5.3857,34095
5.3911,34134
5.3967,34149
5.4023,33980
5.4077,34066
5.4133,34188
5.419,33815
5.4246,34020
5.4299,34099
5.4355,34028
5.4412,33876
5.4468,33983
5.4521,34023
5.4578,33919
5.4635,34017
5.4689,33981
5.4745,34020
5.4801,33993
5.4854,34009
5.4911,34087
5.4967,33910
5.5023,33945
5.5079,33998
5.5133,33895
5.5189,33819
5.5245,33855
5.5302,33706
5.5355,33916
5.5411,33890
5.5468,33972
5.5524,33822
5.5577,33871
5.5634,33928
5.569,33702
5.5743,33821
5.58,33700
5.5856,33763
5.5912,33703
5.5968,33886
5.6022,33707
5.6078,33724
5.6134,33702
5.619,33777
5.6244,33693
5.63,33731
5.6356,33784
5.6413,33919
5.6466,33689
5.6522,33662
5.6578,33753
5.6635,33564
5.6688,33598
5.6744,33699
5.6801,33544
5.6857,33577
5.691,33552
5.6966,33662
5.7023,33652
5.7079,33485
5.7135,33612
5.7189,33491
5.7245,33474
5.7301,33537
5.7358,33637
5.7411,33489
5.7467,33471
5.7524,33342
5.7577,33624
5.7633,33499
5.769,33442
5.7746,33463
5.7799,33486
5.7856,33509
5.7912,33456
5.7968,33414
5.8022,33516
5.8078,33453
5.8134,33409
5.8191,33418
5.8244,33328
5.83,33390
5.8356,33422
5.8413,33565
5.8466,33341
5.8522,33457
5.8579,33348
5.8635,33399
5.8689,33353
5.8745,33242
5.8801,33220
5.8857,33259
5.8911,33134
5.8967,33348
5.9023,33309
5.9079,33244
5.9135,33388
5.9189,33385
5.9245,33261
5.9301,33240
5.9355,33092
5.9411,33230
5.9468,33177
5.9524,33416
5.9577,33227
5.9634,33313
5.969,33255
5.9746,33283
5.98,33183
5.9856,33230
5.9912,33176
5.9969,33182
6.0022,33125
6.0079,33313
6.0135,33180
6.0188,33228
6.0245,33244
6.0301,33050
6.0357,33184
6.0411,33268
6.0467,33285
6.0523,33339
6.058,33182
6.0633,33319
6.069,33054
6.0746,33156
6.0802,33063
6.0856,33147
6.0912,33230
6.0966,33338
6.1022,33141
6.1078,33184
6.1135,33136
6.1191,33167
6.1244,33261
6.13,33138
6.1356,33276
6.1413,33153
6.1466,33255
6.1522,33224
6.1579,33168
6.1635,33121
6.1688,33139
6.1744,33135
6.1801,33141
6.1857,33113
6.1913,33187
6.1966,33149
6.2023,33195
6.2079,33150
6.2135,33020
6.2189,33173
6.2245,33258
6.2301,33062
6.2357,33171
6.2411,33001
6.2467,33071
6.2523,33019
6.258,33138
6.2633,33146
6.269,33291
6.2746,33148
6.2799,33105
6.2856,33052
6.2912,33228
6.2968,33136
6.3022,33069
6.3078,33153
6.3135,33195
6.3191,33244
6.3244,33047
6.3301,33075
6.3357,32946
6.341,33193
6.3467,33268
6.3523,33117
6.3579,33124
6.3633,33184
6.3689,33074
6.3745,33263
6.3801,33044
6.3855,33069
6.3911,33107
6.3968,33146
6.4024,33233
6.408,33169
6.4134,33121
6.419,33100
6.4246,33074
6.43,33114
6.4356,33113
6.4412,33039
6.4469,33078
6.4522,33058
6.4578,33059
6.4635,32934
6.4688,33129
6.4745,33145
6.4801,33222
6.4857,33127
6.4913,33007
6.4967,33051
6.5023,33137
6.5079,33178
6.5135,33096
6.5189,33194
6.5245,33174
6.5301,33234
6.5358,33078
6.5411,33201
6.5468,33148
6.5524,33174
6.5577,33252
6.5634,33114
6.569,33091
6.5746,33327
6.58,33274
6.5856,33152
6.5912,33259
6.5969,33050
6.6022,32984
6.6078,33133
6.6135,33186
6.6191,33157
6.6244,33114
6.6301,33180
6.6357,33229
6.6413,33242
6.6467,33189
6.6523,33126
6.6579,33062
6.6633,33207
6.6689,33154
6.6746,33305
6.6802,33153
6.6855,33167
6.6911,33023
6.6968,33221
6.7024,33037
6.7078,33240
6.7134,33223
6.719,33291
6.7246,33173
6.73,33044
6.7356,33222
6.7412,33082
6.7469,33267
6.7522,33235
6.7577,33159
6.7634,33113
6.769,33191
6.7746,33230
6.78,33178
6.7856,33356
6.7912,33196
6.7968,33208
6.8024,33211
6.8078,33262
6.8134,33281
6.819,33172
6.8246,33234
6.83,33262
6.8356,33254
6.8412,33314
6.8468,33254
6.8524,33098
6.8578,33145
6.8634,33243
6.869,33191
6.8746,33274
6.88,33186
6.8856,33297
6.8912,33256
6.8968,33274
6.9024,33270
6.9078,33319
6.9135,33372
6.9191,33350
6.9244,33280
6.93,33334
6.9356,33232
6.9412,33359
6.9469,33460
6.9522,33346
6.9579,33309
6.9635,33432
6.9691,33288
6.9745,33329
6.9801,33339
6.9857,33392
6.9911,33505
6.9967,33445
7.0023,33313
7.0077,33353
7.0134,33343
7.019,33360
7.0246,33435
7.03,33431
7.0356,33285
7.0413,33363
7.0469,33433
7.0522,33353
7.0579,33338
7.0635,33371
7.0691,33379
7.0744,33496
7.0801,33378
7.0857,33430
7.0911,33460
7.0967,33442
7.1023,33443
7.1079,33390
7.1136,33352
7.1189,33420
7.1245,33478
7.1302,33554
7.1358,33497
7.1411,33397
7.1468,33371
7.1524,33715
7.1578,33527
7.1634,33546
7.169,33565
7.1746,33503
7.18,33672
7.1856,33310
7.1912,33577
7.1968,33494
7.2022,33599
7.2078,33602
7.2134,33458
7.219,33444
7.2244,33488
7.23,33507
7.2357,33531
7.2413,33630
7.2469,33515
7.2523,33426
7.2579,33503
7.2635,33677
7.2689,33538
7.2745,33413
7.2802,33336
7.2858,33571
7.2911,33650
7.2967,33683
7.3024,33633
7.308,33684
7.3133,33736
7.319,33742
7.3246,33536
7.3302,33655
7.3355,33615
7.3412,33676
7.3468,33606
7.3524,33652
7.3578,33682
7.3634,33812
7.369,33764
7.3747,33615
7.38,33753
7.3856,33768
7.3913,33527
7.3969,33730
7.4022,33808
7.4079,33594
7.4135,33688
7.4191,33660
7.4245,33773
7.4301,33753
7.4357,33733
7.4413,33762
7.4467,33776
7.4523,33728
7.4579,33534
