Experiment: Apr28_cal_tst_expt vial 10, Thu Apr 28 17:02:30 2022
0.0027,55348
0.0078,55112
0.0131,55386
0.0188,55622
0.0244,55557
0.03,55560
0.0354,55616
0.041,55630
0.0466,55641
0.052,55673
0.0576,55671
0.0632,55156
0.0689,55667
0.0742,55401
0.0799,55538
0.0855,55665
0.0911,55501
0.0964,55576
0.1021,54887
0.1077,55501
0.1134,54409
0.1187,55510
0.1243,55433
0.1299,55584
0.1356,55493
0.1409,55630
0.1465,53154
0.1521,54053
0.1577,53917
0.1633,54245
0.1687,54293
0.1743,54067
0.1799,54179
0.1855,54014
0.1909,54037
0.1965,54300
0.2022,54223
0.2078,53848
0.2131,54244
0.2188,54251
0.2244,54212
0.23,53874
0.2354,53809
0.241,54085
0.2467,54052
0.252,54369
0.2577,54149
0.2633,54116
0.2689,54175
0.2743,53745
0.2799,54025
0.2855,54150
0.2911,54311
0.2965,53859
0.3021,54256
0.3078,53971
0.3134,54064
0.3187,54063
0.3243,54089
0.33,53914
0.3353,54154
0.341,53984
0.3466,54200
0.3522,54195
0.3576,54017
0.3632,53912
0.3688,54253
0.3745,53848
0.3798,53910
0.3854,54041
0.391,54134
0.3967,54185
0.4023,54001
0.4076,54023
0.4133,53539
0.4189,54112
0.4243,54080
0.4299,54026
0.4355,53976
0.4409,54081
0.4465,54126
0.4521,54040
0.4578,53807
0.4631,53923
0.4688,53744
0.4744,54104
0.48,54043
0.4854,53953
0.491,53817
0.4966,53909
0.5022,53842
0.5076,53845
0.5132,53911
0.5188,54072
0.5245,53751
0.5298,54016
0.5354,53851
0.541,54017
0.5467,53972
0.552,53979
0.5576,53940
0.5633,53982
0.5689,53943
0.5742,53832
0.5799,53966
0.5854,53809
0.591,53871
0.5966,53844
0.6022,53974
0.6076,53950
0.6132,53970
0.6188,53940
0.6244,53836
0.63,53723
0.6354,53756
0.641,53614
0.6466,53844
0.6522,53789
0.6576,53723
0.6632,53641
0.6688,53899
0.6744,53694
0.6798,53703
0.6854,53639
0.691,53699
0.6966,53667
0.7022,53288
0.7076,53711
0.7132,53702
0.7188,53680
0.7244,53732
0.73,53562
0.7354,53766
0.741,53546
0.7467,53693
0.7522,53670
0.7576,53604
0.7632,53523
0.7688,53762
0.7744,53475
0.7798,53490
0.7854,53522
0.791,53402
0.7966,53673
0.8023,53206
0.8076,53550
0.8132,53647
0.8188,53631
0.8245,53384
0.8298,53599
0.8354,53413
0.8411,53574
0.8467,53529
0.852,53411
0.8576,53406
0.8633,53486
0.8689,53454
0.8742,53380
0.8799,53325
0.8855,53328
0.8911,53357
0.8967,53180
0.9021,53441
0.9077,53293
0.9133,53474
0.919,53265
0.9243,53230
0.9299,53224
0.9355,53080
0.9409,53339
0.9465,53317
0.9522,53251
0.9578,53357
0.9631,53012
0.9688,53238
0.9744,53364
0.98,53354
0.9854,53207
0.991,53143
0.9966,53026
1.0022,53243
1.0076,53243
1.0133,52995
1.0188,53171
1.0244,53053
1.0298,53208
1.0354,53230
1.041,53146
1.0467,53127
1.052,53179
1.0577,53197
1.0633,53039
1.0689,53213
1.0743,53117
1.0799,53061
1.0855,53076
1.0911,53157
1.0965,53079
1.1021,53109
1.1077,52781
1.1133,53056
