Experiment: Apr29_heat_tst_expt vial 8, Fri Apr 29 15:10:13 2022
0.0028,168
0.0084,168
0.0141,164
0.0194,164
0.0251,167
0.0307,163
0.0361,165
0.0417,167
0.0474,167
0.0528,167
0.0584,169
0.0641,163
0.0695,165
0.0751,165
0.0808,164
0.0861,164
0.0918,165
0.0972,167
0.1028,165
0.1085,168
0.1138,165
0.1195,166
0.1252,168
0.1306,163
0.1362,165
0.1419,169
0.1472,168
0.1529,163
0.1583,165
0.1639,166
0.1696,168
0.175,170
0.1806,168
0.1863,167
0.1917,167
0.1973,165
0.203,169
0.2084,166
0.2139,164
0.2196,166
0.225,166
0.2306,168
0.2363,166
0.2417,168
0.2473,168
0.253,169
0.2583,166
0.264,166
0.2696,169
0.2751,166
