Experiment: Apr29_heat_tst_expt vial 9, Fri Apr 29 15:10:13 2022
0.0028,167
0.0084,168
0.0141,166
0.0194,166
0.0251,168
0.0307,166
0.0361,166
0.0417,167
0.0474,167
0.0528,168
0.0584,167
0.0641,163
0.0695,165
0.0751,166
0.0808,165
0.0861,164
0.0918,165
0.0972,167
0.1028,167
0.1085,166
0.1138,168
0.1195,166
0.1252,168
0.1306,164
0.1362,165
0.1419,166
0.1472,169
0.1529,164
0.1583,164
0.1639,167
0.1696,168
0.175,169
0.1806,163
0.1863,166
0.1917,166
0.1973,164
0.203,168
0.2084,167
0.2139,165
0.2196,168
0.225,166
0.2306,165
0.2363,167
0.2417,168
0.2473,167
0.253,167
0.2583,167
0.264,166
0.2696,166
0.2751,167
