Experiment: Apr29_heat_tst_expt vial 6, Fri Apr 29 15:10:13 2022
0.0028,167
0.0084,168
0.0141,166
0.0194,166
0.0251,166
0.0307,165
0.0361,168
0.0417,168
0.0474,167
0.0528,166
0.0584,167
0.0641,164
0.0695,163
0.0751,166
0.0808,166
0.0861,165
0.0918,165
0.0972,166
0.1028,162
0.1085,165
0.1138,164
0.1195,164
0.1252,167
0.1306,167
0.1362,163
0.1419,167
0.1472,167
0.1529,164
0.1583,167
0.1639,166
0.1696,168
0.175,168
0.1806,167
0.1863,168
0.1917,168
0.1973,166
0.203,166
0.2084,167
0.2139,164
0.2196,168
0.225,165
0.2306,168
0.2363,166
0.2417,166
0.2473,166
0.253,168
0.2583,164
0.264,166
0.2696,167
0.2751,165
