Experiment: Apr29_heat_tst_expt vial 4, Fri Apr 29 15:10:13 2022
0.0028,166
0.0084,167
0.0141,164
0.0194,167
0.0251,168
0.0307,166
0.0361,166
0.0417,167
0.0474,165
0.0528,166
0.0584,166
0.0641,163
0.0695,165
0.0751,164
0.0808,166
0.0861,165
0.0918,165
0.0972,166
0.1028,165
0.1085,165
0.1138,167
0.1195,165
0.1252,169
0.1306,166
0.1362,167
0.1419,165
0.1472,167
0.1529,165
0.1583,168
0.1639,168
0.1696,170
0.175,167
0.1806,166
0.1863,166
0.1917,168
0.1973,167
0.203,168
0.2084,166
0.2139,166
0.2196,168
0.225,166
0.2306,168
0.2363,168
0.2417,167
0.2473,166
0.253,166
0.2583,168
0.264,167
0.2696,165
0.2751,167
