Experiment: Apr29_heat_tst_expt vial 10, Fri Apr 29 15:10:13 2022
0.0028,166
0.0084,167
0.0141,166
0.0194,164
0.0251,167
0.0307,167
0.0361,165
0.0417,169
0.0474,168
0.0528,169
0.0584,165
0.0641,164
0.0695,166
0.0751,164
0.0808,162
0.0861,165
0.0918,164
0.0972,165
0.1028,166
0.1085,167
0.1138,166
0.1195,165
0.1252,167
0.1306,166
0.1362,163
0.1419,166
0.1472,168
0.1529,164
0.1583,166
0.1639,168
0.1696,165
0.175,167
0.1806,163
0.1863,166
0.1917,168
0.1973,167
0.203,165
0.2084,166
0.2139,165
0.2196,166
0.225,169
0.2306,167
0.2363,169
0.2417,167
0.2473,166
0.253,167
0.2583,168
0.264,165
0.2696,167
0.2751,166
