Experiment: Apr29_heat_tst_expt vial 12, Fri Apr 29 15:10:13 2022
0.0028,168
0.0084,167
0.0141,166
0.0194,164
0.0251,165
0.0307,165
0.0361,166
0.0417,166
0.0474,166
0.0528,165
0.0584,168
0.0641,165
0.0695,166
0.0751,165
0.0808,164
0.0861,167
0.0918,165
0.0972,164
0.1028,165
0.1085,166
0.1138,166
0.1195,167
0.1252,162
0.1306,165
0.1362,165
0.1419,166
0.1472,168
0.1529,163
0.1583,166
0.1639,167
0.1696,167
0.175,167
0.1806,163
0.1863,169
0.1917,168
0.1973,165
0.203,167
0.2084,166
0.2139,165
0.2196,165
0.225,168
0.2306,167
0.2363,168
0.2417,164
0.2473,161
0.253,167
0.2583,166
0.264,165
0.2696,166
0.2751,165
