Experiment: Apr29_heat_tst_expt vial 0, Fri Apr 29 15:10:13 2022
0.0028,53117
0.0084,53244
0.0141,53256
0.0194,53194
0.0251,53253
0.0307,53121
0.0361,53210
0.0417,53269
0.0474,53162
0.0528,53271
0.0584,53359
0.0641,53366
0.0695,53265
0.0751,53183
0.0808,53373
0.0861,53335
0.0918,53289
0.0972,53255
0.1028,53329
0.1085,53315
0.1138,53380
0.1195,53364
0.1252,53301
0.1306,53141
0.1362,53354
0.1419,53366
0.1472,53339
0.1529,53241
0.1583,53348
0.1639,53088
0.1696,53220
0.175,53353
0.1806,53257
0.1863,53305
0.1917,53328
0.1973,53342
0.203,53147
0.2084,53313
0.2139,53247
0.2196,53181
0.225,53144
0.2306,53383
0.2363,53291
0.2417,53378
0.2473,53283
0.253,53303
0.2583,53238
0.264,53304
0.2696,53359
0.2751,53207
