Experiment: July_9_negative_cntrl_expt vial 4, Fri Jul  9 17:30:40 2021
2.2191,32674
2.2248,32671
2.2304,32671
2.236,32671
2.2414,32671
2.247,32674
2.2527,32671
2.2581,32666
2.2637,32665
2.2693,32667
2.2749,32667
2.2803,32665
2.2859,32666
2.2916,32665
2.297,32667
2.3026,32667
2.3082,32671
2.3136,32669
2.3192,32667
2.3249,32668
2.3305,32672
2.3359,32668
2.3415,32665
2.3472,32668
2.3525,32670
2.3581,32670
2.3638,32670
2.3691,32668
2.3748,32667
2.3804,32668
2.3858,32670
2.3914,32668
2.3971,32670
2.4027,32668
2.4081,32667
2.4137,32670
2.4193,32669
2.4247,32667
2.4303,32668
2.436,32664
2.4416,32667
2.447,32670
2.4526,32667
2.4583,32667
2.4636,32666
2.4693,32669
2.4749,32663
2.4803,32667
2.4859,32669
2.4913,32669
2.497,32670
2.5026,32669
2.5082,32667
2.5136,32666
2.5193,32666
2.5249,32666
2.5303,32665
2.5359,32665
2.5416,32667
2.5469,32663
2.5526,32668
2.5582,32669
2.5636,32672
2.5692,32669
2.5749,32668
2.5805,32670
2.5859,32667
2.5915,32669
2.5971,32668
2.6025,32669
2.6081,32666
2.6138,32670
2.6194,32669
2.6248,32667
2.6304,32666
2.636,32667
2.6414,32669
2.647,32669
2.6527,32669
2.6583,32665
2.6636,32668
2.6693,32670
2.6749,32667
2.6803,32671
2.6859,32665
2.6916,32669
2.6969,32668
2.7026,32666
2.7082,32666
2.7138,32667
2.7192,32666
2.7248,32665
2.7305,32671
2.7359,32672
2.7415,32669
2.7471,32669
2.7525,32667
2.7581,32669
2.7638,32670
2.7691,32665
2.7748,32671
2.7804,32670
2.7861,32668
2.7914,32671
2.7971,32669
2.8027,32673
2.8081,32670
2.8137,32669
2.8194,32667
2.8248,32668
2.8304,32668
2.836,32667
2.8414,32667
2.847,32668
2.8527,32669
2.8581,32665
2.8637,32669
2.8694,32669
2.8747,32669
2.8804,32669
2.886,32668
2.8914,32669
2.897,32667
2.9027,32668
2.9083,32667
2.9137,32668
2.9194,32666
2.9248,32665
2.9304,32668
2.936,32671
2.9414,32666
2.9471,32670
2.9527,32671
2.9581,32670
2.9637,32670
2.9693,32669
2.9747,32667
2.9803,32667
2.986,32672
2.9916,32673
2.997,32668
3.0025,32673
3.0081,32670
3.0138,32670
3.0192,32670
3.0248,32671
3.0303,32669
3.036,32672
3.0416,32671
3.047,32668
3.0526,32669
3.0581,32669
3.0638,32668
3.0694,32668
3.0748,32669
3.0804,32667
3.0859,32669
3.0916,32668
3.0969,32669
3.1026,32666
3.1082,32667
3.1137,32668
3.1194,32671
3.1247,32667
3.1304,32672
3.136,32669
3.1414,32671
3.147,32669
3.1527,32670
3.158,32670
3.1637,32667
3.1693,32671
3.175,32670
3.1803,32669
3.186,32668
3.1916,32671
3.197,32671
3.2026,32669
3.2082,32667
3.2136,32669
3.2192,32667
3.2249,32667
3.2303,32666
3.2359,32667
3.2415,32668
3.2472,32669
3.2525,32670
3.2582,32669
3.2638,32665
3.2692,32670
3.2748,32668
3.2805,32668
3.2858,32669
3.2915,32671
3.2971,32668
3.3025,32667
3.3081,32668
3.3138,32668
3.3194,32667
3.3248,32665
3.3304,32667
3.3361,32662
3.3414,32665
3.347,32664
3.3527,32666
3.3583,32665
3.3637,32667
3.3693,32669
3.375,32667
3.3803,32665
3.386,32667
3.3916,32669
3.397,32668
3.4026,32666
3.4083,32666
3.4136,32665
3.4193,32668
3.4249,32671
3.4303,32667
3.4359,32668
3.4416,32668
3.447,32670
3.4526,32668
3.4582,32667
3.4636,32664
3.4692,32666
3.4749,32666
3.4805,32665
3.4859,32663
3.4915,32665
3.4971,32665
3.5028,32663
3.5081,32666
3.5138,32667
3.5192,32670
3.5248,32669
3.5305,32671
3.5361,32671
3.5414,32670
3.5471,32669
3.5527,32669
3.5581,32674
3.5637,32671
3.5694,32672
3.5747,32669
3.5804,32671
3.586,32668
3.5914,32669
3.5971,32673
3.6027,32669
3.6081,32668
3.6137,32670
3.6193,32669
3.625,32668
3.6304,32668
3.636,32669
3.6416,32671
3.647,32671
3.6526,32665
3.6583,32667
3.6637,32670
3.6693,32670
3.675,32667
3.6803,32669
3.686,32668
3.6916,32666
3.6972,32668
3.7026,32667
3.7082,32665
3.7136,32668
3.7192,32671
3.7249,32668
3.7305,32667
3.7359,32669
3.7415,32664
3.7472,32666
3.7525,32665
3.7582,32670
3.7638,32672
3.7692,32672
3.7748,32669
3.7805,32669
3.7859,32671
3.7915,32668
3.7972,32668
3.8025,32666
3.8082,32668
3.8138,32670
3.8192,32665
3.8248,32664
3.8305,32670
3.8359,32669
3.8415,32668
3.8472,32668
3.8525,32670
3.8582,32668
3.8638,32667
3.8692,32668
3.8748,32668
3.8805,32675
3.8858,32667
3.8915,32667
3.8971,32668
3.9025,32667
3.9081,32668
3.9138,32670
3.9194,32665
3.9248,32671
3.9304,32667
3.936,32667
3.9414,32670
3.9471,32669
3.9527,32670
3.9581,32669
3.9637,32671
3.9694,32668
3.9747,32669
3.9804,32664
3.986,32670
3.9916,32664
3.997,32666
4.0027,32666
4.0083,32663
4.0137,32668
4.0193,32669
4.025,32666
4.0303,32666
4.036,32669
4.0416,32668
4.047,32668
4.0526,32668
4.0583,32667
4.0636,32670
4.0693,32666
4.0749,32668
4.0806,32666
4.0859,32667
4.0916,32668
4.0969,32668
4.1026,32667
4.1082,32664
4.1139,32668
4.1192,32669
4.1249,32666
4.1305,32669
4.1359,32669
4.1415,32668
4.1472,32667
4.1526,32667
4.1582,32668
4.1638,32670
4.1692,32671
4.1748,32668
4.1805,32671
4.1858,32671
4.1915,32672
4.1971,32667
4.2025,32670
4.2081,32670
4.2138,32667
4.2194,32667
4.2248,32669
4.2304,32672
4.2361,32668
4.2414,32667
4.247,32666
4.2527,32666
4.2583,32668
4.2637,32666
4.2693,32670
4.275,32669
4.2803,32666
4.286,32669
4.2916,32670
4.2973,32670
4.3026,32669
4.3082,32669
4.3136,32668
4.3192,32666
4.3249,32668
