Experiment: Feb_22_tst3_chemo_expt vial 7, Mon Feb 22 14:25:20 2021
0.0045,35792
0.0102,35912
0.0158,35841
0.0215,35986
0.0272,35737
0.0325,35749
0.0382,35914
0.0438,35846
0.0492,35936
0.0548,35887
0.0605,36014
0.0658,36005
0.0714,36211
0.0771,36003
0.0824,36062
0.0881,35971
0.0937,35825
0.0991,35806
0.1048,35897
0.1104,35749
0.1161,35920
0.1216,35509
0.1269,35439
0.1326,35542
0.1382,35189
0.1436,35099
0.1492,35324
0.1549,34798
0.1605,34713
0.1658,34782
0.1715,34492
0.1772,34371
0.1825,34519
0.1882,34357
