Experiment: Feb_22_tst3_chemo_expt vial 2, Mon Feb 22 14:25:20 2021
0.0045,55297
0.0102,55316
0.0158,55285
0.0215,55296
0.0272,55319
0.0325,55314
0.0382,55308
0.0438,55219
0.0492,55291
0.0548,55310
0.0605,55332
0.0658,55333
0.0714,55290
0.0771,55343
0.0824,55326
0.0881,55352
0.0937,55356
0.0991,55354
0.1048,55365
0.1104,55358
0.1161,55356
0.1216,55341
0.1269,55336
0.1326,55359
0.1382,55360
0.1436,55358
0.1492,55343
0.1549,55358
0.1605,55340
0.1658,55363
0.1715,55351
0.1772,55365
0.1825,55364
0.1882,55354
