Experiment: Feb_22_tst3_chemo_expt vial 8, Mon Feb 22 14:25:20 2021
0.0045,40293
0.0102,40228
0.0158,40454
0.0215,40403
0.0272,40515
0.0325,40491
0.0382,40459
0.0438,40491
0.0492,40374
0.0548,40371
0.0605,40355
0.0658,40464
0.0714,40230
0.0771,40336
0.0824,40351
0.0881,40343
0.0937,40321
0.0991,40225
0.1048,40064
0.1104,40124
0.1161,40181
0.1216,39922
0.1269,39787
0.1326,39658
0.1382,39538
0.1436,39439
0.1492,39535
0.1549,39268
0.1605,39329
0.1658,39227
0.1715,39149
0.1772,39059
0.1825,39098
0.1882,38930
