Experiment: Feb_22_tst3_chemo_expt vial 3, Mon Feb 22 14:25:20 2021
0.0045,37616
0.0102,37525
0.0158,37400
0.0215,37627
0.0272,37419
0.0325,37650
0.0382,37630
0.0438,38717
0.0492,39005
0.0548,37588
0.0605,37657
0.0658,37785
0.0714,37639
0.0771,37825
0.0824,37976
0.0881,37655
0.0937,37616
0.0991,37624
0.1048,37545
0.1104,37442
0.1161,37676
0.1216,37292
0.1269,37332
0.1326,37314
0.1382,37112
0.1436,36783
0.1492,36773
0.1549,36563
0.1605,36504
0.1658,36492
0.1715,36334
0.1772,36234
0.1825,36250
0.1882,36224
