Experiment: Feb_22_tst3_chemo_expt vial 11, Mon Feb 22 14:25:20 2021
0.0045,40218
0.0102,39922
0.0158,39995
0.0215,40260
0.0272,39981
0.0325,39948
0.0382,39969
0.0438,39716
0.0492,39836
0.0548,39778
0.0605,39724
0.0658,39668
0.0714,39663
0.0771,39629
0.0824,39495
0.0881,39694
0.0937,39431
0.0991,39518
0.1048,39554
0.1104,39439
0.1161,39514
0.1216,39564
0.1269,39525
0.1326,39639
0.1382,39337
0.1436,39343
0.1492,39319
0.1549,39101
0.1605,38947
0.1658,38937
0.1715,38860
0.1772,38835
0.1825,39023
0.1882,38904
