Experiment: Feb_22_tst3_chemo_expt vial 5, Mon Feb 22 14:25:20 2021
0.0045,39601
0.0102,39716
0.0158,39747
0.0215,39752
0.0272,39779
0.0325,39683
0.0382,39645
0.0438,39844
0.0492,39653
0.0548,39698
0.0605,39767
0.0658,39565
0.0714,39516
0.0771,39599
0.0824,39471
0.0881,39424
0.0937,39548
0.0991,39504
0.1048,39401
0.1104,39470
0.1161,39374
0.1216,39474
0.1269,39278
0.1326,39259
0.1382,39099
0.1436,39023
0.1492,38892
0.1549,38776
0.1605,38649
0.1658,38774
0.1715,38583
0.1772,38457
0.1825,38619
0.1882,38197
