Experiment: Feb_22_tst3_chemo_expt vial 0, Mon Feb 22 14:25:20 2021
0.0045,42072
0.0102,42041
0.0158,42107
0.0215,42071
0.0272,42246
0.0325,42068
0.0382,42146
0.0438,42039
0.0492,42105
0.0548,42057
0.0605,42169
0.0658,42102
0.0714,42026
0.0771,42016
0.0824,42102
0.0881,42082
0.0937,41970
0.0991,41928
0.1048,42024
0.1104,41978
0.1161,41936
0.1216,41987
0.1269,42067
0.1326,42097
0.1382,42022
0.1436,42044
0.1492,41984
0.1549,41847
0.1605,41843
0.1658,41941
0.1715,41721
0.1772,41727
0.1825,41749
0.1882,41521
