Experiment: Feb_22_tst3_chemo_expt vial 13, Mon Feb 22 14:25:20 2021
0.0045,36816
0.0102,36824
0.0158,36944
0.0215,36930
0.0272,37051
0.0325,36945
0.0382,36812
0.0438,36961
0.0492,36865
0.0548,36842
0.0605,36846
0.0658,36817
0.0714,36628
0.0771,36562
0.0824,36576
0.0881,36384
0.0937,36424
0.0991,36435
0.1048,36289
0.1104,36466
0.1161,36263
0.1216,36010
0.1269,36054
0.1326,35786
0.1382,35552
0.1436,35535
0.1492,35465
0.1549,35174
0.1605,35094
0.1658,35175
0.1715,34859
0.1772,34941
0.1825,34993
0.1882,34567
