Experiment: Feb_22_tst3_chemo_expt vial 14, Mon Feb 22 14:25:20 2021
0.0045,39358
0.0102,39357
0.0158,39559
0.0215,39528
0.0272,39624
0.0325,39547
0.0382,39399
0.0438,39505
0.0492,39638
0.0548,39524
0.0605,39429
0.0658,39321
0.0714,39423
0.0771,39246
0.0824,39102
0.0881,39182
0.0937,39027
0.0991,38884
0.1048,39196
0.1104,38974
0.1161,39007
0.1216,38895
0.1269,38905
0.1326,38624
0.1382,38481
0.1436,38263
0.1492,38333
0.1549,38150
0.1605,38118
0.1658,38231
0.1715,38012
0.1772,37822
0.1825,37990
0.1882,37499
