Experiment: Feb_22_tst3_chemo_expt vial 1, Mon Feb 22 14:25:20 2021
0.0045,38657
0.0102,38697
0.0158,38666
0.0215,38664
0.0272,38645
0.0325,38619
0.0382,38736
0.0438,38821
0.0492,38880
0.0548,38729
0.0605,38835
0.0658,38715
0.0714,38723
0.0771,38682
0.0824,38623
0.0881,38672
0.0937,38575
0.0991,38464
0.1048,38509
0.1104,38621
0.1161,38490
0.1216,38577
0.1269,38470
0.1326,38528
0.1382,38215
0.1436,38081
0.1492,38094
0.1549,37693
0.1605,37596
0.1658,37611
0.1715,37405
0.1772,37241
0.1825,37331
0.1882,36992
