Experiment: Feb_22_tst3_chemo_expt vial 9, Mon Feb 22 14:25:20 2021
0.0045,38305
0.0102,38419
0.0158,38383
0.0215,38404
0.0272,38422
0.0325,38301
0.0382,38322
0.0438,38442
0.0492,38481
0.0548,38158
0.0605,37905
0.0658,37901
0.0714,37549
0.0771,37176
0.0824,37302
0.0881,37095
0.0937,37060
0.0991,37029
0.1048,36784
0.1104,36738
0.1161,36772
0.1216,36502
0.1269,36484
0.1326,36359
0.1382,36103
0.1436,36217
0.1492,36260
0.1549,36059
0.1605,35921
0.1658,35951
0.1715,35779
0.1772,35530
0.1825,35819
0.1882,35497
