Experiment: Feb_22_tst3_chemo_expt vial 12, Mon Feb 22 14:25:20 2021
0.0045,56312
0.0102,56286
0.0158,56330
0.0215,56332
0.0272,56334
0.0325,56326
0.0382,56337
0.0438,56337
0.0492,56324
0.0548,56338
0.0605,56317
0.0658,56332
0.0714,56344
0.0771,56328
0.0824,56338
0.0881,56329
0.0937,56337
0.0991,56344
0.1048,56344
0.1104,56346
0.1161,56314
0.1216,56296
0.1269,56331
0.1326,56337
0.1382,56328
0.1436,56339
0.1492,56343
0.1549,56336
0.1605,56340
0.1658,56340
0.1715,56326
0.1772,56304
0.1825,56312
0.1882,56336
