Experiment: Feb_22_tst3_chemo_expt vial 9, Mon Feb 22 14:25:20 2021
0.0045,22440
0.0102,22450
0.0158,22446
0.0215,22549
0.0272,22574
0.0325,22476
0.0382,22504
0.0438,22482
0.0492,22416
0.0548,22490
0.0605,22630
0.0658,22814
0.0714,23009
0.0771,23015
0.0824,23034
0.0881,23201
0.0937,23149
0.0991,23267
0.1048,23398
0.1104,23356
0.1161,23302
0.1216,23434
0.1269,23456
0.1326,23427
0.1382,23478
0.1436,23557
0.1492,23599
0.1549,23734
0.1605,23688
0.1658,23671
0.1715,23747
0.1772,23802
0.1825,23764
0.1882,23901
