Experiment: Feb_22_tst3_chemo_expt vial 13, Mon Feb 22 14:25:20 2021
0.0045,21948
0.0102,21913
0.0158,21927
0.0215,22079
0.0272,22128
0.0325,21946
0.0382,21993
0.0438,21957
0.0492,21856
0.0548,21995
0.0605,21915
0.0658,21977
0.0714,22139
0.0771,22076
0.0824,22217
0.0881,22180
0.0937,22114
0.0991,22210
0.1048,22196
0.1104,22149
0.1161,22175
0.1216,22241
0.1269,22203
0.1326,22229
0.1382,22386
0.1436,22424
0.1492,22348
0.1549,22562
0.1605,22615
0.1658,22628
0.1715,22812
0.1772,22721
0.1825,22742
0.1882,22832
