Experiment: Feb_22_tst3_chemo_expt vial 2, Mon Feb 22 14:25:20 2021
0.0045,28751
0.0102,28787
0.0158,28777
0.0215,28757
0.0272,28792
0.0325,28782
0.0382,28794
0.0438,28745
0.0492,28776
0.0548,28777
0.0605,28790
0.0658,28762
0.0714,28729
0.0771,28735
0.0824,28739
0.0881,28746
0.0937,28758
0.0991,28755
0.1048,28765
0.1104,28759
0.1161,28755
0.1216,28742
0.1269,28770
0.1326,28763
0.1382,28750
0.1436,28763
0.1492,28758
0.1549,28749
0.1605,28753
0.1658,28769
0.1715,28758
0.1772,28767
0.1825,28762
0.1882,28725
