Experiment: Feb_22_tst3_chemo_expt vial 7, Mon Feb 22 14:25:20 2021
0.0045,22820
0.0102,22828
0.0158,22765
0.0215,22820
0.0272,22806
0.0325,22801
0.0382,22761
0.0438,22796
0.0492,22739
0.0548,22666
0.0605,22769
0.0658,22698
0.0714,22526
0.0771,22578
0.0824,22628
0.0881,22732
0.0937,22818
0.0991,22663
0.1048,22580
0.1104,22584
0.1161,22298
0.1216,22769
0.1269,22942
0.1326,22865
0.1382,22930
0.1436,23010
0.1492,22698
0.1549,23260
0.1605,23346
0.1658,23324
0.1715,23349
0.1772,23070
0.1825,23335
0.1882,22757
