Experiment: Feb_22_tst3_chemo_expt vial 11, Mon Feb 22 14:25:20 2021
0.0045,22446
0.0102,22342
0.0158,22311
0.0215,22363
0.0272,22278
0.0325,22309
0.0382,22320
0.0438,22393
0.0492,22597
0.0548,22596
0.0605,22683
0.0658,22530
0.0714,22695
0.0771,22752
0.0824,22683
0.0881,22720
0.0937,22708
0.0991,22776
0.1048,22715
0.1104,22779
0.1161,22540
0.1216,22725
0.1269,22607
0.1326,22779
0.1382,22550
0.1436,22769
0.1492,22095
0.1549,22970
0.1605,23036
0.1658,23000
0.1715,23125
0.1772,23153
0.1825,22980
0.1882,23267
