Experiment: Feb_22_tst3_chemo_expt vial 6, Mon Feb 22 14:25:20 2021
0.0045,21173
0.0102,21324
0.0158,21162
0.0215,21297
0.0272,21247
0.0325,21263
0.0382,21151
0.0438,21144
0.0492,21203
0.0548,21189
0.0605,21272
0.0658,21291
0.0714,21325
0.0771,21342
0.0824,21293
0.0881,21364
0.0937,21377
0.0991,21391
0.1048,21374
0.1104,21465
0.1161,21397
0.1216,21481
0.1269,21446
0.1326,21479
0.1382,21682
0.1436,21934
0.1492,21784
0.1549,21966
0.1605,21990
0.1658,21941
0.1715,22094
0.1772,22138
0.1825,22156
0.1882,22249
