Experiment: Feb_22_tst3_chemo_expt vial 0, Mon Feb 22 14:25:20 2021
0.0045,18277
0.0102,18424
0.0158,18287
0.0215,18371
0.0272,18571
0.0325,18498
0.0382,18422
0.0438,18466
0.0492,18581
0.0548,18504
0.0605,18396
0.0658,18418
0.0714,18662
0.0771,18600
0.0824,18665
0.0881,18799
0.0937,18626
0.0991,18729
0.1048,18733
0.1104,18647
0.1161,18689
0.1216,18625
0.1269,18770
0.1326,18767
0.1382,18619
0.1436,18604
0.1492,18600
0.1549,18837
0.1605,19022
0.1658,18896
0.1715,19277
0.1772,19295
0.1825,19408
0.1882,19577
