Experiment: Feb_22_tst3_chemo_expt vial 15, Mon Feb 22 14:25:20 2021
0.0045,21969
0.0102,21882
0.0158,22031
0.0215,21941
0.0272,21973
0.0325,21994
0.0382,21923
0.0438,21965
0.0492,21912
0.0548,21836
0.0605,22020
0.0658,21959
0.0714,21825
0.0771,21909
0.0824,21918
0.0881,21963
0.0937,21926
0.0991,21766
0.1048,22050
0.1104,22021
0.1161,21814
0.1216,22068
0.1269,22240
0.1326,22274
0.1382,22284
0.1436,22446
0.1492,22300
0.1549,22653
0.1605,22521
0.1658,22430
0.1715,22695
0.1772,22715
0.1825,22522
0.1882,22763
