Experiment: Feb_22_tst3_chemo_expt vial 12, Mon Feb 22 14:25:20 2021
0.0045,27903
0.0102,27910
0.0158,27911
0.0215,27916
0.0272,27922
0.0325,27925
0.0382,27914
0.0438,27913
0.0492,27920
0.0548,27914
0.0605,27916
0.0658,27910
0.0714,27911
0.0771,27920
0.0824,27920
0.0881,27905
0.0937,27914
0.0991,27919
0.1048,27918
0.1104,27926
0.1161,27916
0.1216,27902
0.1269,27899
0.1326,27907
0.1382,27903
0.1436,27914
0.1492,27913
0.1549,27906
0.1605,27908
0.1658,27890
0.1715,27895
0.1772,27898
0.1825,27905
0.1882,27901
