Experiment: Feb_22_tst3_chemo_expt vial 10, Mon Feb 22 14:25:20 2021
0.0045,23928
0.0102,23862
0.0158,23856
0.0215,23905
0.0272,23892
0.0325,23941
0.0382,23957
0.0438,23989
0.0492,24023
0.0548,24128
0.0605,24266
0.0658,24252
0.0714,24267
0.0771,24232
0.0824,24175
0.0881,24156
0.0937,24136
0.0991,24103
0.1048,24237
0.1104,24277
0.1161,24205
0.1216,24356
0.1269,24335
0.1326,24363
0.1382,24473
0.1436,24569
0.1492,24471
0.1549,24597
0.1605,24625
0.1658,24524
0.1715,24615
0.1772,24702
0.1825,24594
0.1882,24725
