Experiment: Feb_22_tst3_chemo_expt vial 4, Mon Feb 22 14:25:20 2021
0.0045,28107
0.0102,28097
0.0158,28098
0.0215,28104
0.0272,28114
0.0325,28129
0.0382,28148
0.0438,28124
0.0492,28125
0.0548,28120
0.0605,28133
0.0658,28109
0.0714,28118
0.0771,28134
0.0824,28124
0.0881,28140
0.0937,28123
0.0991,28114
0.1048,28130
0.1104,28113
0.1161,28115
0.1216,28097
0.1269,28114
0.1326,28088
0.1382,28089
0.1436,28111
0.1492,28119
0.1549,28100
0.1605,28121
0.1658,28118
0.1715,28138
0.1772,28129
0.1825,28091
0.1882,28118
