Experiment: April_27_Phage_Osmo_expt vial 11, Tue Apr 27 19:11:23 2021
0.0049,1625
0.0106,1627
0.016,1623
0.0216,1620
0.0273,1628
0.0327,1625
0.0383,1621
0.0439,1627
0.0493,1625
0.0548,1622
0.0605,1623
0.066,1630
0.0716,1619
0.077,1623
0.0826,1629
0.0883,1625
0.0939,1621
0.0992,1627
0.1049,1624
0.1105,1621
0.1159,1626
0.1215,1626
0.1272,1623
0.1327,1625
0.1383,1624
0.1437,1622
0.1493,1625
0.155,1623
0.1603,1625
0.166,1626
0.1716,1621
0.1772,1624
0.1827,1626
0.1883,1621
0.1937,1624
0.1994,1627
0.205,1622
0.2104,1625
0.216,1628
0.2216,1623
0.2273,1623
0.2326,1626
0.2382,1622
0.2439,1623
0.2492,1626
0.2549,1622
0.2605,1623
0.2661,1626
0.2714,1623
0.2771,1622
0.2827,1629
0.2883,1625
0.2937,1621
0.2993,1625
0.305,1627
0.3103,1621
0.316,1622
0.3216,1628
0.3272,1624
0.3326,1621
0.3383,1627
0.3439,1623
0.3492,1622
0.3549,1627
0.3605,1625
0.3659,1622
0.3715,1624
0.3772,1627
0.3828,1620
0.3881,1625
0.3938,1625
0.3994,1621
0.405,1626
0.4104,1626
0.416,1620
0.4217,1624
0.427,1627
0.4327,1620
0.4383,1622
0.4437,1627
0.4493,1624
0.4549,1622
0.4606,1627
0.4659,1625
0.4716,1623
0.4772,1626
0.4828,1623
0.4881,1621
0.4938,1625
0.4994,1625
0.5048,1621
0.5105,1626
0.5161,1626
0.5214,1621
0.5271,1626
0.5327,1626
0.5383,1622
0.544,1626
0.5493,1624
0.5549,1620
0.5606,1626
0.566,1625
0.5716,1620
0.5772,1626
0.5826,1626
0.5882,1621
0.5938,1626
0.5995,1623
0.6048,1620
0.6105,1627
0.6161,1624
0.6215,1622
0.6271,1625
0.6327,1625
0.6384,1622
0.6437,1626
0.6494,1627
0.6548,1622
0.6604,1623
0.6661,1629
0.6717,1624
0.6771,1622
0.6827,1625
0.6883,1622
0.6937,1623
0.6994,1629
0.705,1623
0.7106,1623
0.716,1624
0.7216,1623
0.7272,1622
0.7326,1628
0.7382,1621
0.7438,1622
0.7495,1627
0.7548,1623
0.7605,1621
0.7661,1626
0.7715,1623
0.7771,1622
0.7828,1627
0.7881,1623
0.7938,1623
0.7994,1623
0.8048,1622
0.8104,1622
0.8159,1629
0.8216,1623
0.8272,1622
0.8329,1625
0.8382,1625
0.8437,1622
0.8494,1624
0.855,1626
0.8604,1622
0.866,1623
0.8715,1626
0.8772,1623
0.8825,1623
0.8882,1626
0.8938,1623
0.8994,1623
0.905,1627
0.9103,1624
0.916,1622
0.9216,1627
0.9272,1623
0.9328,1621
0.9382,1628
0.9438,1626
0.9495,1621
0.9548,1625
0.9604,1624
0.9661,1622
0.9717,1626
0.9771,1625
0.9827,1622
0.9883,1624
0.9937,1629
0.9993,1623
1.005,1622
1.0104,1627
1.016,1625
1.0216,1620
1.027,1624
1.0326,1628
1.0383,1622
1.0439,1625
1.0493,1625
1.0549,1623
1.0605,1625
1.0659,1627
1.0715,1622
1.0772,1624
1.0828,1625
1.0881,1622
1.0938,1623
1.0994,1628
1.105,1621
1.1104,1623
1.1161,1629
1.1217,1621
1.127,1621
1.1327,1627
1.1383,1624
1.144,1622
1.1493,1629
1.1549,1624
1.1606,1621
1.1659,1626
1.1716,1625
1.1772,1623
1.1826,1627
1.1882,1624
1.1939,1621
1.1995,1627
1.2048,1625
1.2105,1619
1.2161,1628
1.2215,1624
1.2271,1619
1.2328,1626
1.2384,1625
1.2437,1621
1.2494,1623
1.255,1628
1.2604,1621
1.266,1624
1.2717,1629
1.277,1622
1.2827,1623
1.2883,1628
1.2937,1624
1.2993,1621
1.3049,1625
1.3106,1628
1.3159,1621
1.3216,1621
1.3272,1628
1.3328,1621
1.3382,1622
1.3438,1627
1.3494,1621
1.3548,1620
1.3605,1626
1.3661,1623
1.3717,1621
1.3771,1626
1.3827,1624
1.3884,1622
1.3937,1626
1.3994,1627
1.405,1622
1.4104,1624
1.416,1627
1.4216,1622
1.4273,1623
1.4327,1628
1.4383,1621
1.4439,1622
1.4493,1628
1.4549,1622
1.4606,1623
1.4659,1627
1.4716,1623
1.4772,1623
1.4826,1627
1.4882,1624
1.4938,1622
1.4995,1625
1.5049,1626
1.5105,1620
1.5161,1625
1.5215,1626
1.5271,1622
1.5328,1624
1.5381,1626
1.5438,1621
1.5494,1625
1.5548,1627
1.5604,1622
1.5661,1621
1.5717,1628
1.5771,1625
1.5827,1620
1.5883,1628
1.5937,1626
1.5994,1623
1.605,1624
1.6104,1627
1.6161,1622
1.6217,1627
1.627,1625
1.6327,1621
1.6383,1625
1.6437,1624
1.6493,1621
1.655,1625
1.6606,1627
1.666,1622
1.6716,1624
1.6772,1628
1.6826,1624
1.6882,1621
1.6939,1625
1.6992,1625
1.7049,1620
1.7105,1625
1.7161,1627
