Experiment: Feb_23_T2_chemo_expt vial 4, Tue Feb 23 14:55:00 2021
0.0047,0.0
0.0107,5.241150063173272e-05
0.0163,0.00012281536792357883
0.022,0.0002221387990226642
0.0273,-4.645932657276752e-05
0.033,0.0002569657540281156
0.0386,9.368932905196026e-05
0.044,-0.00012227166297562597
0.0496,-9.89289534965021e-05
0.0553,-5.829053294204023e-05
0.0609,1.781114840171405e-05
0.0662,-2.921522851595526e-05
0.0719,-4.0871934675168475e-05
0.0775,2.331703035629573e-05
0.0829,-4.6607965080269764e-05
0.0885,-0.00041178326601820636
0.0942,-0.0003773505521320608
0.0995,2.9341373554814254e-05
0.1052,1.781114840171405e-05
0.1108,-0.00018607369278833552
0.1164,-9.899886708142347e-05
0.1218,-0.00023269188353225445
0.1274,-0.00011641546010410231
0.1331,-0.0002961126850060669
0.1385,-0.00019170510671151497
0.1441,-0.00016852411622614305
0.1497,-0.0002956917379552948
0.1551,-0.00035847480647066554
0.1607,1.1767951274554989e-05
0.1664,-5.2245059268818395e-05
0.1717,-0.0003019967763278064
0.1774,-0.000313372292812808
0.183,-0.00019192193884842723
0.1886,-0.00017454465061317315
0.194,-2.3122963666688534e-05
0.1997,8.266990948468944e-05
0.2051,3.5107695724567733e-05
0.2108,8.794564299230423e-05
0.2162,-0.00010481827565134161
0.2219,-0.00011645467360033024
0.2275,-0.00016880665813601148
0.2332,-0.0004058633294379277
0.2385,-0.00025005338746386663
0.2442,-0.00010480029278725489
0.2498,-0.00022629519570394052
0.2552,-4.081119262200339e-05
0.2608,-6.978699092763385e-05
0.2664,-0.00015714384189391417
0.2718,4.118061471936052e-05
0.2774,0.00013527583751793415
0.2831,-6.399344406204932e-05
0.2884,0.0001935955630461006
0.2941,-0.00016883143445212134
0.2997,5.6485555830487755e-06
0.3051,9.943382151078595e-05
0.3107,5.269682432640366e-05
0.3164,-5.829053294204023e-05
0.322,-3.488544198959609e-05
0.3274,-5.248513991817916e-05
0.333,2.9092779494588328e-05
0.3386,4.664275926558048e-05
0.344,0.00014671551821510143
0.3496,0.00018218391344104745
0.3553,-2.890168859059905e-05
0.3606,-0.0001977693785069068
0.3663,7.606097364387665e-05
0.3719,4.7311536472083304e-05
0.3775,-9.899111758016055e-05
0.3829,-0.0002849919214609198
0.3886,-0.00015136670058191193
0.3942,0.0
0.3996,-7.557973139760144e-05
0.4052,0.00022844949293898686
0.4109,-0.00019141061147998073
0.4162,-0.00027882955671487686
0.4219,-0.00024355495946570827
0.4275,-2.921522851595526e-05
0.4332,-0.00022683904889331252
0.4385,-3.501361376767598e-05
0.4442,9.907503853656685e-05
0.4498,-0.00018607369278833552
0.4552,-1.1563094629574167e-05
0.4608,-0.00015714384189391417
0.4665,-0.00011641622400682117
0.4718,6.421625952435228e-05
0.4775,0.00014047513596593397
0.4829,6.284148839297288e-06
0.4885,-5.5496193700488305e-06
0.4941,1.781114840171405e-05
0.4998,-0.00011050278226965027
0.5051,4.6938316325073615e-05
0.5108,-4.081119262200339e-05
0.5164,-0.00011063687782386644
0.522,-2.3122963666688534e-05
0.5274,-6.399344406204932e-05
0.533,-9.899886708142347e-05
0.5387,-0.00013964356954709878
0.544,-1.1320530120428884e-05
0.5497,-1.444346919843298e-07
0.5553,-0.0002154050946978625
0.5607,-8.150404106488374e-05
0.5663,-0.0002617722658866395
0.5719,-0.000128028929635704
0.5776,-0.00011063687782386644
0.5829,-0.00012808784595486067
0.5886,-0.00013971951268132443
0.5942,-8.150404106488374e-05
0.5996,2.9341373554814254e-05
0.6052,5.994621327332084e-06
0.6108,0.00014671551821510143
0.6162,2.2209777994497415e-07
0.6217,0.00023481818961501588
0.6274,2.35758577795675e-05
0.633,-2.890168859059905e-05
0.6386,-6.989889980069108e-05
0.644,0.00012328854361842723
0.6496,0.00018218391344104745
0.6553,-1.6760173509933196e-05
0.6609,-5.8029985565255515e-05
0.6663,1.2047245421697994e-05
0.6719,-8.137166546617891e-05
