Experiment: Feb_19_real_eric2_expt vial 10, Fri Feb 19 13:52:12 2021
0.0021,0.0
0.0078,-0.010833711111277844
0.0132,-0.0036178224505183376
0.0188,-0.0056092368412252736
0.0242,-0.0008244918939686041
0.0298,-0.0021385347582186798
0.0355,-0.008115468896987443
0.0408,-0.00048126995183928045
0.0465,-0.0025681746389789595
0.0521,0.006601999243451839
0.0575,-0.007194144210218356
0.0632,0.0018371972656263669
0.0688,-0.010393440482564298
0.0742,-0.0028683534159205104
0.0798,-0.006278872829238891
0.0855,-0.00857726016122018
0.0909,-0.00952836796311285
0.0965,-0.0026654809260419077
0.1022,-0.002485626233965088
0.1075,-0.008220310243912565
0.1132,-0.007080735717560849
0.1188,-0.008558759363810564
0.1242,0.008214933671009339
0.1298,-0.006926591474358257
0.1355,-0.003256296818145321
0.1409,0.008907819341978929
0.1465,-0.006267809348181608
0.1522,0.0226482635099875
0.1575,-0.0012644343761163412
0.1632,-0.002457400258229825
0.1688,0.013462071395273889
0.1742,0.0015877148772261984
0.1799,-0.00047101712941199914
0.1855,0.00071274788862008
0.1909,0.0006808878290242015
0.1965,-0.008031634674551813
0.2022,-0.006058906557993127
0.2076,0.004711904253131838
0.2132,-0.003458316357184521
0.2189,-0.003720050377789441
0.2242,0.000490136922240092
0.2299,-0.006136461274365068
0.2355,-0.006375725224830431
0.2409,-0.010599624000940167
0.2466,-0.007433657753757372
0.2519,-0.006752563588790839
0.2576,-0.009619168117362187
0.2632,-0.0015485541372227685
0.2689,-0.0069995052883101705
0.2743,-0.004733656609906989
0.2799,-0.006953031148162703
0.2856,-0.004687313752615774
0.2909,-0.005962663864362616
0.2966,-0.007787390399963456
0.302,-0.005093686385076013
0.3076,-0.008244537410212915
0.3133,-0.005344229596872974
0.3187,-0.004573105027015911
0.3243,0.0007401206265132965
0.33,0.0002510242838148491
0.3353,-0.004527162419452058
0.341,-0.005179955467003783
0.3466,-0.008130620688571066
0.352,-0.00460179659214921
0.3577,-0.0036057176875068375
0.3633,-0.005284239738860053
0.3687,-0.006450530369306651
0.3743,-0.00610599684182922
0.38,0.0015552363878904574
0.3853,-0.0032990910361536674
0.391,-0.005545072643475257
0.3966,-0.0059402306726394905
0.402,-0.008536374412711156
0.4077,-0.009026813334368722
0.4131,-0.0069147854766292705
0.4187,-0.008256575523721721
0.4244,-0.0011084383956833088
0.4298,0.0016406942241411482
0.4354,-0.006033368638558745
0.4411,-0.002823614080996961
0.4464,-0.007455116767824399
0.4521,-0.0054794780363539575
0.4577,-0.004390854829109503
0.4631,-0.002612893557713214
0.4688,-0.0068340212079551765
0.4744,-0.00734037782079866
0.4798,-0.0011218584049460523
0.4854,-0.009597508691458145
0.4911,-0.008140989190966064
0.4964,-0.006402943612058509
0.5021,-0.010086107380201548
0.5077,-0.008044668113389553
0.5131,-0.0088829482052597
0.5188,-0.006651500243887387
0.5242,-0.006779465976623378
0.5299,-0.006518484344582132
0.5355,-0.002004757816586822
0.5409,-0.0033961576702372653
0.5466,-0.008106940418019404
0.552,-0.005133245129686936
0.5577,-0.008499450863854952
0.5631,-0.0002317320442063453
0.5688,-0.00786274578897117
0.5744,-0.006876038640231896
0.5798,-0.004790588893862635
0.5854,-0.004512785008925935
0.5911,-0.007207009621687965
0.5964,-0.00367921463326637
0.6021,-0.00810742424051647
0.6076,-0.006954744582205352
0.6132,-0.00497785262072159
0.6189,-0.006855529179551789
0.6242,-0.006640943353377171
0.6299,-0.006420963011260161
0.6354,-0.006526389624478823
0.641,-0.008543692396836944
0.6464,-0.008060740052544424
0.6521,-0.004148025369851482
0.6577,-0.009479427295904785
0.6631,-0.004869227265406173
0.6688,-0.006139737940757839
0.6745,-0.002698330440272678
0.6798,-0.004122105262725939
0.6855,-0.00561015722362268
0.6909,-0.0016526738000415264
0.6965,-0.006300517615001167
0.7022,-0.004915953598889855
0.7076,-0.0054398203011226665
0.7132,-0.0032833416585782427
0.7188,-0.004185271220116138
0.7242,-0.007154979792601268
0.7299,-0.006143488121947094
0.7355,-0.004033916197040521
0.7409,-0.0014831077373747004
0.7465,-0.004414051474859848
0.7522,-0.004726805725535743
0.7576,-0.004651994459754505
0.7632,-0.006072011328880911
0.7689,-0.007174294372688461
0.7742,-0.0050576214885232895
0.7799,-0.006375540691584303
0.7853,-0.005546248583120805
0.791,-0.005587262577489094
0.7966,-0.006727599052444799
0.802,-0.0065688154649100605
0.8077,-0.006589355555812193
0.8133,-0.008490251134721238
0.8187,-0.006965458369522559
0.8243,-0.008353286599543153
0.83,-0.00626429220112501
0.8354,-0.006757268772795366
0.841,-0.006249896488839557
0.8467,-0.004787708956820458
0.852,-0.0044711277311320075
0.8577,-0.006797606989973337
0.8631,-0.0060617146509104325
0.8687,-0.0076638074179258275
0.8744,-0.0036106748490913887
0.88,-0.002163120727444512
0.8854,-0.0035100642383842917
0.8911,-0.00801849654247433
0.8964,-0.007473903230057144
0.9021,-0.01008888385002138
0.9078,-0.00480600022744937
0.9131,-0.004100509136046648
0.9188,-0.005419671760694578
0.9244,-0.006031331299675924
0.9298,-0.0052566854146960384
0.9355,-0.0032478289098070157
0.9411,-0.004076730342818635
0.9465,-0.0018668255050424687
0.9521,-0.0022115396057527104
0.9578,-0.000234869045696251
0.9631,-0.00022846329975179103
0.9688,0.003193677415582852
0.9744,0.0031582913743758434
0.9798,0.0010629245036223312
0.9855,-0.0010929100490405519
0.9909,0.00012950216964036088
0.9965,0.0008928453355496191
1.0022,-0.00010932948231034967
1.0076,-0.002012956004421196
1.0132,0.006146116447871219
1.0189,0.001203743701626292
1.0243,-0.00030432825663184726
1.0299,-0.002155001807733814
1.0356,-0.0003145764048076427
1.0409,0.0021269840642323956
1.0466,0.0025639677805969763
1.052,0.004162853703388036
1.0576,0.0052478376320059805
1.0633,0.0036321196294823443
1.0686,0.004475018006512288
1.0743,0.00538031575072434
1.08,0.003661280113641696
1.0853,0.0020729082275895427
1.091,0.009924599116992672
1.0966,0.005484652613448993
1.102,0.005298568203276954
1.1077,0.004818276778916553
1.1133,0.005237623953106285
1.1187,0.008333533720712938
1.1244,0.003772898694415827
1.1298,0.006953601023369338
1.1354,0.008941501215663783
1.1411,0.009334427477143747
1.1465,0.01049927494863101
1.1521,0.012846755512991304
1.1578,0.011018066240899127
1.1632,0.010549082971776758
1.1688,0.007253642032912344
1.1742,0.015583748814741116
1.1798,0.01079594883584123
1.1855,0.0095684691747841
1.1909,0.00905893353432291
1.1965,0.008809008221192738
1.2022,0.012679137699707965
1.2075,0.012535716933107954
1.2132,0.01154192338019766
1.2188,0.017418512819255494
1.2242,0.015812008836142255
1.2299,0.016582904257143538
1.2355,0.015113924908371379
1.2409,0.016320810723337797
1.2466,0.017803987396803334
1.2522,0.02465969460610401
1.2576,0.01723595971502595
1.2633,0.019873990784863238
1.2687,0.0163060553258918
1.2743,0.023158194196128745
1.2797,0.022986073774933613
1.2854,0.020507090476295564
1.291,0.02086955881361202
1.2964,0.027447488887172133
1.3021,0.029691536415129005
1.3077,0.025893441435379305
1.3131,0.022622716821689093
1.3188,0.01922731608896172
1.3244,0.029553000460916357
1.3298,0.024731080751015155
1.3354,0.026269979920873654
1.3411,0.032979419478830097
1.3465,0.02582348986348637
1.3521,0.03280119221219113
