Experiment: Feb_5_Batch_expt_zeroed vial 9, Fri Feb  5 18:54:24 2021
0.0037,1746
0.0094,1738
0.0147,1731
0.0204,1724
0.026,1716
0.0314,1708
0.0371,1700
0.0428,1696
0.0481,1688
0.0538,1682
0.0594,1677
0.0648,1670
0.0705,1664
0.0758,1657
0.0815,1652
0.0871,1646
0.0925,1642
0.0982,1633
0.1038,1631
0.1092,1625
0.1149,1622
0.1205,1627
0.1259,1624
0.1315,1621
0.1372,1625
0.1426,1623
0.1482,1620
0.1538,1627
0.1592,1624
0.1649,1621
0.1702,1626
0.1759,1624
0.1815,1621
0.1872,1624
0.1926,1623
0.1982,1622
0.2039,1627
0.2093,1622
0.2149,1623
0.2203,1625
