Experiment: Feb_5_Batch_expt_zeroed vial 0, Fri Feb  5 18:54:24 2021
0.0037,1723
0.0094,1716
0.0147,1709
0.0204,1703
0.026,1696
0.0314,1693
0.0371,1685
0.0428,1681
0.0481,1675
0.0538,1667
0.0594,1663
0.0648,1659
0.0705,1651
0.0758,1647
0.0815,1642
0.0871,1638
0.0925,1632
0.0982,1634
0.1038,1635
0.1092,1633
0.1149,1633
0.1205,1634
0.1259,1633
0.1315,1635
0.1372,1632
0.1426,1635
0.1482,1634
0.1538,1631
0.1592,1637
0.1649,1632
0.1702,1635
0.1759,1636
0.1815,1630
0.1872,1635
0.1926,1636
0.1982,1631
0.2039,1635
0.2093,1637
0.2149,1633
0.2203,1635
