Experiment: Feb_5_Batch_expt_zeroed vial 14, Fri Feb  5 18:54:24 2021
0.0037,1770
0.0094,1763
0.0147,1758
0.0204,1750
0.026,1743
0.0314,1738
0.0371,1731
0.0428,1728
0.0481,1722
0.0538,1716
0.0594,1711
0.0648,1705
0.0705,1701
0.0758,1695
0.0815,1690
0.0871,1687
0.0925,1681
0.0982,1675
0.1038,1670
0.1092,1667
0.1149,1662
0.1205,1655
0.1259,1651
0.1315,1648
0.1372,1645
0.1426,1639
0.1482,1633
0.1538,1630
0.1592,1627
0.1649,1623
0.1702,1628
0.1759,1625
0.1815,1624
0.1872,1629
0.1926,1626
0.1982,1623
0.2039,1628
0.2093,1624
0.2149,1622
0.2203,1628
