Experiment: Feb_5_Batch_expt_zeroed vial 5, Fri Feb  5 18:54:24 2021
0.0037,1736
0.0094,1729
0.0147,1718
0.0204,1713
0.026,1705
0.0314,1697
0.0371,1691
0.0428,1682
0.0481,1676
0.0538,1669
0.0594,1663
0.0648,1655
0.0705,1649
0.0758,1644
0.0815,1638
0.0871,1633
0.0925,1627
0.0982,1621
0.1038,1619
0.1092,1611
0.1149,1613
0.1205,1613
0.1259,1608
0.1315,1611
0.1372,1614
0.1426,1611
0.1482,1613
0.1538,1614
0.1592,1609
0.1649,1612
0.1702,1616
0.1759,1609
0.1815,1615
0.1872,1613
0.1926,1609
0.1982,1615
0.2039,1612
0.2093,1607
0.2149,1614
0.2203,1609
