Experiment: Feb_5_Batch_expt_zeroed vial 3, Fri Feb  5 18:54:24 2021
0.0037,1756
0.0094,1749
0.0147,1739
0.0204,1732
0.026,1725
0.0314,1718
0.0371,1713
0.0428,1704
0.0481,1699
0.0538,1691
0.0594,1687
0.0648,1680
0.0705,1674
0.0758,1668
0.0815,1663
0.0871,1658
0.0925,1653
0.0982,1645
0.1038,1642
0.1092,1639
0.1149,1633
0.1205,1626
0.1259,1625
0.1315,1626
0.1372,1626
0.1426,1628
0.1482,1626
0.1538,1628
0.1592,1627
0.1649,1626
0.1702,1627
0.1759,1626
0.1815,1627
0.1872,1624
0.1926,1625
0.1982,1628
0.2039,1626
0.2093,1625
0.2149,1627
0.2203,1624
