Experiment: Feb_5_Batch_expt_zeroed vial 11, Fri Feb  5 18:54:24 2021
0.0037,1760
0.0094,1754
0.0147,1746
0.0204,1738
0.026,1730
0.0314,1725
0.0371,1718
0.0428,1712
0.0481,1707
0.0538,1701
0.0594,1697
0.0648,1691
0.0705,1684
0.0758,1680
0.0815,1676
0.0871,1669
0.0925,1665
0.0982,1660
0.1038,1654
0.1092,1650
0.1149,1643
0.1205,1638
0.1259,1634
0.1315,1628
0.1372,1624
0.1426,1623
0.1482,1628
0.1538,1628
0.1592,1621
0.1649,1625
0.1702,1627
0.1759,1623
0.1815,1624
0.1872,1625
0.1926,1623
0.1982,1624
0.2039,1625
0.2093,1622
0.2149,1627
0.2203,1625
