Experiment: Feb_5_Batch_expt_zeroed vial 15, Fri Feb  5 18:54:24 2021
0.0037,1791
0.0094,1784
0.0147,1778
0.0204,1775
0.026,1769
0.0314,1763
0.0371,1755
0.0428,1750
0.0481,1746
0.0538,1741
0.0594,1737
0.0648,1733
0.0705,1728
0.0758,1723
0.0815,1720
0.0871,1714
0.0925,1707
0.0982,1703
0.1038,1698
0.1092,1695
0.1149,1692
0.1205,1687
0.1259,1683
0.1315,1678
0.1372,1675
0.1426,1670
0.1482,1664
0.1538,1660
0.1592,1657
0.1649,1655
0.1702,1649
0.1759,1643
0.1815,1641
0.1872,1637
0.1926,1635
0.1982,1632
0.2039,1630
0.2093,1633
0.2149,1635
0.2203,1630
