Experiment: Feb_5_Batch_expt_zeroed vial 1, Fri Feb  5 18:54:24 2021
0.0037,1748
0.0094,1740
0.0147,1733
0.0204,1725
0.026,1719
0.0314,1712
0.0371,1703
0.0428,1699
0.0481,1693
0.0538,1688
0.0594,1681
0.0648,1676
0.0705,1669
0.0758,1664
0.0815,1659
0.0871,1653
0.0925,1649
0.0982,1644
0.1038,1639
0.1092,1637
0.1149,1630
0.1205,1627
0.1259,1630
0.1315,1630
0.1372,1627
0.1426,1630
0.1482,1632
0.1538,1627
0.1592,1630
0.1649,1631
0.1702,1627
0.1759,1632
0.1815,1630
0.1872,1624
0.1926,1628
0.1982,1634
0.2039,1629
0.2093,1626
0.2149,1630
0.2203,1630
