Experiment: Feb_5_Batch_expt_zeroed vial 7, Fri Feb  5 18:54:24 2021
0.0037,1780
0.0094,1771
0.0147,1764
0.0204,1759
0.026,1751
0.0314,1742
0.0371,1736
0.0428,1728
0.0481,1722
0.0538,1717
0.0594,1712
0.0648,1704
0.0705,1698
0.0758,1692
0.0815,1688
0.0871,1682
0.0925,1677
0.0982,1671
0.1038,1665
0.1092,1659
0.1149,1653
0.1205,1647
0.1259,1642
0.1315,1638
0.1372,1632
0.1426,1626
0.1482,1622
0.1538,1627
0.1592,1628
0.1649,1625
0.1702,1623
0.1759,1627
0.1815,1625
0.1872,1621
0.1926,1628
0.1982,1628
0.2039,1624
0.2093,1624
0.2149,1626
0.2203,1625
