Experiment: Feb_5_Batch_expt_zeroed vial 4, Fri Feb  5 18:54:24 2021
0.0037,1743
0.0094,1734
0.0147,1725
0.0204,1719
0.026,1712
0.0314,1706
0.0371,1698
0.0428,1692
0.0481,1686
0.0538,1679
0.0594,1673
0.0648,1666
0.0705,1660
0.0758,1655
0.0815,1650
0.0871,1645
0.0925,1639
0.0982,1635
0.1038,1631
0.1092,1628
0.1149,1620
0.1205,1614
0.1259,1612
0.1315,1612
0.1372,1613
0.1426,1611
0.1482,1613
0.1538,1613
0.1592,1608
0.1649,1613
0.1702,1613
0.1759,1609
0.1815,1613
0.1872,1609
0.1926,1611
0.1982,1612
0.2039,1608
0.2093,1612
0.2149,1614
0.2203,1610
