Experiment: Feb_5_Batch_expt_zeroed vial 13, Fri Feb  5 18:54:24 2021
0.0037,1779
0.0094,1773
0.0147,1766
0.0204,1759
0.026,1755
0.0314,1747
0.0371,1741
0.0428,1736
0.0481,1733
0.0538,1725
0.0594,1721
0.0648,1716
0.0705,1708
0.0758,1705
0.0815,1703
0.0871,1696
0.0925,1691
0.0982,1686
0.1038,1683
0.1092,1676
0.1149,1671
0.1205,1665
0.1259,1660
0.1315,1657
0.1372,1649
0.1426,1645
0.1482,1641
0.1538,1637
0.1592,1632
0.1649,1629
0.1702,1624
0.1759,1626
0.1815,1629
0.1872,1629
0.1926,1627
0.1982,1624
0.2039,1629
0.2093,1627
0.2149,1628
0.2203,1624
