Experiment: Feb_5_Batch_expt_zeroed vial 10, Fri Feb  5 18:54:24 2021
0.0037,1746
0.0094,1740
0.0147,1731
0.0204,1723
0.026,1714
0.0314,1707
0.0371,1700
0.0428,1693
0.0481,1686
0.0538,1682
0.0594,1672
0.0648,1666
0.0705,1658
0.0758,1652
0.0815,1649
0.0871,1641
0.0925,1634
0.0982,1631
0.1038,1622
0.1092,1619
0.1149,1619
0.1205,1618
0.1259,1620
0.1315,1617
0.1372,1621
0.1426,1617
0.1482,1618
0.1538,1618
0.1592,1617
0.1649,1617
0.1702,1615
0.1759,1619
0.1815,1618
0.1872,1619
0.1926,1614
0.1982,1620
0.2039,1616
0.2093,1620
0.2149,1618
0.2203,1620
