Experiment: Feb_5_Batch_expt_zeroed vial 2, Fri Feb  5 18:54:24 2021
0.0037,1743
0.0094,1733
0.0147,1725
0.0204,1719
0.026,1712
0.0314,1707
0.0371,1700
0.0428,1692
0.0481,1686
0.0538,1679
0.0594,1675
0.0648,1669
0.0705,1661
0.0758,1657
0.0815,1654
0.0871,1648
0.0925,1642
0.0982,1638
0.1038,1631
0.1092,1629
0.1149,1625
0.1205,1618
0.1259,1614
0.1315,1611
0.1372,1606
0.1426,1611
0.1482,1609
0.1538,1608
0.1592,1607
0.1649,1608
0.1702,1607
0.1759,1611
0.1815,1611
0.1872,1606
0.1926,1611
0.1982,1608
0.2039,1606
0.2093,1610
0.2149,1610
0.2203,1605
