Experiment: Feb_5_Batch_expt_zeroed vial 8, Fri Feb  5 18:54:24 2021
0.0037,1800
0.0094,1792
0.0147,1785
0.0204,1780
0.026,1773
0.0314,1766
0.0371,1760
0.0428,1755
0.0481,1749
0.0538,1739
0.0594,1736
0.0648,1731
0.0705,1725
0.0758,1720
0.0815,1714
0.0871,1710
0.0925,1705
0.0982,1700
0.1038,1696
0.1092,1693
0.1149,1684
0.1205,1679
0.1259,1676
0.1315,1671
0.1372,1666
0.1426,1662
0.1482,1658
0.1538,1655
0.1592,1649
0.1649,1646
0.1702,1642
0.1759,1635
0.1815,1633
0.1872,1630
0.1926,1634
0.1982,1636
0.2039,1632
0.2093,1630
0.2149,1632
0.2203,1634
