Experiment: Feb_5_Batch_expt_zeroed vial 12, Fri Feb  5 18:54:24 2021
0.0037,1795
0.0094,1785
0.0147,1781
0.0204,1773
0.026,1767
0.0314,1763
0.0371,1757
0.0428,1752
0.0481,1744
0.0538,1739
0.0594,1733
0.0648,1729
0.0705,1723
0.0758,1718
0.0815,1711
0.0871,1708
0.0925,1704
0.0982,1700
0.1038,1696
0.1092,1690
0.1149,1685
0.1205,1681
0.1259,1676
0.1315,1673
0.1372,1665
0.1426,1661
0.1482,1658
0.1538,1655
0.1592,1651
0.1649,1644
0.1702,1641
0.1759,1637
0.1815,1634
0.1872,1630
0.1926,1626
0.1982,1620
0.2039,1616
0.2093,1612
0.2149,1613
0.2203,1612
