Experiment: April_28_Phage_Osmo_expt vial 12, Wed Apr 28 17:10:55 2021
0.0025,1610
0.0079,1615
0.0135,1616
0.0192,1612
0.0245,1611
0.0301,1616
0.0358,1616
0.0411,1612
0.0468,1610
0.0524,1616
0.0578,1616
0.0634,1613
0.069,1611
0.0747,1615
0.08,1616
0.0857,1613
0.0913,1609
0.0967,1612
0.1023,1615
0.1079,1611
0.1136,1609
0.119,1614
0.1246,1616
0.1302,1611
0.1356,1610
0.1413,1614
0.1469,1616
0.1522,1613
0.1579,1611
0.1635,1615
0.1689,1611
0.1746,1611
0.1802,1614
0.1858,1612
0.1912,1610
0.1968,1615
0.2024,1614
0.2079,1609
0.2135,1610
0.2189,1616
0.2246,1615
0.2302,1609
0.2356,1611
0.2412,1615
0.2469,1615
0.2525,1610
0.2578,1611
0.2635,1615
0.2691,1613
0.2745,1609
0.2801,1614
0.2857,1615
0.2911,1609
0.2968,1612
0.3024,1614
0.3081,1612
0.3134,1611
0.3191,1615
0.3247,1616
0.3301,1611
0.3357,1610
0.3414,1617
0.3467,1612
0.3524,1610
0.358,1612
0.3634,1616
0.369,1611
0.3747,1609
0.3801,1614
0.3858,1615
0.3914,1611
0.3968,1612
0.4024,1616
0.4078,1618
0.4134,1612
0.4191,1609
0.4247,1610
0.4301,1618
0.4357,1615
0.4413,1611
0.4467,1610
0.4524,1617
0.458,1614
0.4634,1612
0.469,1612
0.4747,1616
0.4801,1615
0.4857,1610
0.4913,1612
0.497,1617
0.5023,1616
0.508,1610
0.5133,1612
0.519,1616
0.5246,1615
0.5303,1611
0.5356,1610
0.5413,1614
0.5469,1615
0.5523,1610
0.5579,1610
0.5635,1614
0.5692,1612
0.5746,1609
0.5802,1614
0.5856,1616
0.5912,1613
0.5969,1609
0.6025,1616
0.6081,1613
0.6135,1609
0.6191,1611
0.6245,1615
0.6302,1613
0.6358,1608
0.6412,1612
0.6469,1617
0.6525,1613
0.6579,1609
0.6635,1611
0.6692,1616
0.6746,1614
0.6802,1612
0.6859,1611
0.6912,1617
0.6969,1613
0.7023,1610
0.708,1612
0.7134,1615
0.7191,1612
0.7247,1608
0.7301,1614
0.7357,1616
0.7414,1612
0.7467,1609
0.7524,1611
0.758,1613
0.7636,1611
0.769,1613
0.7746,1616
0.7802,1611
0.7856,1607
0.7913,1613
0.797,1616
0.8023,1611
0.808,1611
0.8136,1617
0.819,1614
0.8246,1610
0.8302,1614
0.8356,1614
0.8412,1610
0.8469,1610
0.8525,1616
0.8581,1617
0.8635,1613
0.8691,1610
0.8747,1616
0.8801,1613
0.8857,1611
0.8914,1609
0.8967,1616
0.9023,1615
0.908,1611
0.9136,1613
0.919,1614
0.9246,1615
0.9303,1610
0.9356,1612
0.9413,1617
0.9469,1614
0.9523,1611
0.9579,1613
0.9636,1615
0.969,1612
0.9747,1610
0.9801,1615
0.9857,1615
0.9914,1612
0.9967,1607
1.0024,1615
1.008,1614
1.0136,1615
1.019,1610
1.0246,1611
1.0302,1615
1.0356,1614
1.0413,1609
1.0469,1612
1.0523,1615
1.0579,1613
1.0635,1609
1.0692,1612
1.0745,1618
1.0801,1615
1.0858,1608
1.0914,1612
1.0968,1617
1.1024,1615
1.1079,1611
1.1136,1611
1.1192,1615
1.1246,1615
1.1303,1612
1.1357,1611
1.1413,1617
1.147,1614
1.1523,1609
1.158,1610
1.1635,1616
1.1692,1616
1.1745,1613
1.1801,1610
1.1858,1617
1.1912,1616
1.1969,1612
1.2023,1610
1.2079,1615
1.2135,1616
1.2191,1612
1.2245,1608
1.2301,1613
1.2358,1616
1.2414,1613
1.2468,1611
1.2524,1615
1.2578,1615
1.2635,1612
1.2692,1610
1.2745,1617
1.2802,1614
1.2858,1611
1.2914,1612
1.2968,1615
1.3024,1615
1.3081,1610
1.3134,1611
1.319,1615
1.3247,1615
1.3303,1611
1.3357,1611
1.3413,1616
1.3469,1616
1.3523,1611
1.358,1608
1.3634,1616
1.3691,1619
1.3747,1614
1.3801,1608
1.3858,1612
1.3913,1615
1.397,1610
1.4024,1608
1.408,1615
1.4134,1618
1.419,1612
1.4247,1609
1.4301,1614
1.4358,1618
1.4414,1613
1.4468,1607
1.4524,1613
1.458,1617
1.4634,1617
1.469,1612
1.4747,1610
1.4803,1616
1.4857,1616
1.4913,1614
1.4969,1609
1.5026,1614
1.5079,1615
1.5136,1613
1.5192,1607
1.5245,1614
1.5302,1617
1.5358,1615
1.5412,1608
1.5468,1609
1.5525,1618
1.5581,1613
1.5634,1609
1.5691,1611
1.5747,1616
1.5803,1611
1.5857,1609
1.5913,1613
1.5969,1615
1.6026,1613
1.6079,1611
1.6136,1612
1.6192,1614
1.6246,1611
1.6302,1614
1.6358,1615
1.6412,1610
1.6468,1610
1.6524,1614
1.6581,1615
1.6637,1611
1.669,1608
1.6747,1616
1.6803,1616
1.6857,1613
1.6913,1608
1.6969,1614
1.7023,1614
1.7079,1612
1.7136,1612
1.7192,1614
1.7246,1612
1.7302,1609
1.7358,1614
1.7412,1614
1.7469,1609
1.7523,1614
1.758,1617
1.7634,1611
1.769,1610
1.7746,1613
1.7803,1613
1.7856,1611
1.7912,1615
1.7969,1613
1.8025,1608
1.8079,1613
1.8135,1616
1.8191,1614
1.8248,1609
1.8301,1614
1.8358,1613
1.8414,1610
1.8468,1611
1.8524,1616
1.8579,1615
1.8635,1610
1.8692,1611
1.8746,1615
1.8803,1612
1.8857,1607
1.8913,1614
1.8969,1616
1.9025,1612
1.9079,1608
1.9135,1612
1.9192,1617
1.9248,1613
1.9301,1608
1.9358,1610
1.9414,1616
1.947,1616
1.9524,1611
1.958,1609
1.9636,1616
1.969,1616
1.9746,1609
1.9802,1610
1.9859,1614
1.9913,1615
1.997,1610
2.0024,1610
2.008,1616
2.0137,1615
2.019,1610
2.0247,1610
2.0303,1615
2.0359,1617
2.0413,1611
2.0469,1610
2.0525,1616
2.0579,1614
2.0635,1608
2.0692,1610
2.0745,1615
2.0801,1615
2.0858,1610
2.0914,1608
2.0968,1616
2.1024,1614
2.1081,1610
2.1134,1609
2.1191,1615
2.1248,1613
2.1304,1609
2.1358,1609
2.1414,1613
2.1468,1615
2.1524,1613
2.158,1608
2.1637,1611
2.169,1616
2.1747,1616
2.1801,1608
2.1857,1611
2.1914,1618
2.197,1615
2.2023,1612
2.208,1611
2.2136,1617
2.2193,1613
2.2246,1611
2.2302,1611
2.2359,1616
2.2413,1614
2.2469,1608
2.2525,1612
2.2581,1616
2.2635,1614
2.2691,1609
2.2746,1612
2.2802,1617
2.2859,1614
2.2912,1608
2.2969,1611
2.3026,1618
2.308,1615
2.3136,1610
2.3193,1612
2.3246,1615
2.3302,1612
2.3359,1609
2.3415,1612
2.3468,1616
2.3525,1612
2.3581,1609
2.3635,1617
2.3691,1617
2.3747,1612
2.3803,1609
2.3857,1613
2.3913,1617
2.397,1610
2.4026,1608
2.4079,1614
2.4136,1616
2.4192,1609
2.4246,1610
2.4302,1613
2.4359,1616
2.4412,1613
2.4468,1608
2.4525,1613
2.4581,1615
2.4635,1610
2.4691,1610
2.4747,1616
2.4801,1616
2.4857,1611
2.4913,1609
2.497,1616
2.5023,1615
2.508,1610
2.5136,1610
2.5193,1616
2.5246,1612
2.5302,1610
2.5359,1611
2.5412,1615
2.5468,1611
2.5525,1611
2.5581,1615
2.5634,1614
2.5691,1609
2.5745,1613
2.5802,1614
2.5858,1613
2.5915,1610
2.5968,1611
2.6024,1617
2.608,1613
2.6136,1608
2.6193,1609
2.6246,1615
2.6302,1617
2.6358,1609
2.6415,1608
2.6468,1614
2.6525,1614
2.658,1611
2.6636,1607
2.6693,1614
2.6746,1614
2.6803,1612
2.6858,1610
2.6914,1615
2.6968,1617
2.7025,1610
2.7081,1608
2.7135,1616
2.7191,1615
2.7247,1610
2.7301,1608
2.7358,1613
2.7414,1616
2.747,1612
2.7524,1609
2.758,1613
2.7636,1616
2.769,1611
2.7746,1610
2.7803,1612
2.7859,1617
2.7913,1613
2.797,1608
2.8024,1614
2.808,1617
2.8136,1610
2.8193,1609
2.8246,1613
2.8302,1616
2.8359,1612
2.8412,1609
2.8469,1615
2.8525,1613
2.8581,1612
2.8635,1609
2.8691,1613
2.8748,1616
2.8801,1613
2.8858,1610
2.8914,1613
2.897,1617
2.9024,1612
2.908,1608
2.9136,1614
2.919,1615
2.9247,1611
2.9301,1609
2.9358,1617
2.9414,1615
2.9468,1610
2.9524,1609
2.9581,1615
2.9637,1615
2.9691,1611
2.9747,1609
2.9804,1614
2.9857,1616
2.9914,1613
2.997,1608
3.0024,1612
3.008,1615
3.0136,1612
3.019,1607
3.0246,1612
3.0302,1617
3.0359,1612
3.0415,1610
3.0469,1612
3.0525,1616
3.0581,1614
3.0635,1607
3.0692,1610
3.0748,1614
3.0802,1616
3.0859,1611
3.0912,1610
3.0969,1615
3.1025,1614
3.1081,1610
3.1135,1610
3.1192,1617
3.1248,1614
3.1301,1609
3.1358,1610
3.1414,1616
3.147,1615
3.1524,1609
3.158,1609
3.1637,1616
3.169,1616
3.1747,1609
3.1803,1609
3.1859,1614
3.1913,1614
3.1969,1611
3.2025,1611
3.2082,1616
3.2135,1616
3.2191,1612
3.2248,1609
3.2301,1613
3.2358,1617
3.2415,1609
3.2469,1611
3.2525,1614
3.2581,1616
3.2635,1609
3.2692,1609
3.2748,1615
3.2802,1616
3.2858,1610
3.2914,1610
3.2968,1615
3.3024,1614
3.3081,1610
3.3137,1611
3.319,1615
3.3247,1616
3.3303,1610
3.3359,1610
3.3413,1615
3.3469,1614
3.3525,1610
3.3581,1610
3.3635,1615
3.3691,1615
3.3748,1610
3.3801,1610
3.3857,1616
3.3914,1614
3.397,1608
3.4024,1610
3.408,1616
3.4137,1615
3.419,1610
3.4246,1611
3.4303,1616
3.4359,1612
3.4413,1609
3.4469,1610
3.4526,1616
3.4579,1614
3.4636,1608
3.4692,1610
3.4748,1617
3.4802,1613
3.4858,1610
3.4915,1612
3.4968,1613
3.5025,1614
3.5081,1611
3.5135,1613
3.5191,1617
3.5248,1609
3.5302,1608
3.5359,1614
3.5415,1618
3.5469,1612
3.5525,1610
3.5579,1613
3.5636,1617
3.5692,1613
3.5746,1611
3.5802,1612
3.5859,1616
3.5915,1613
3.5969,1610
3.6025,1612
3.6081,1614
3.6135,1613
3.6191,1608
3.6248,1613
3.6304,1619
3.6358,1614
3.6414,1611
3.647,1613
3.6524,1615
3.658,1614
3.6637,1611
3.669,1612
3.6747,1615
3.6804,1614
3.6857,1610
3.6913,1614
3.697,1615
3.7026,1612
3.708,1611
3.7136,1614
3.7192,1615
3.7246,1612
3.7302,1610
3.7359,1615
3.7412,1617
3.7469,1613
3.7525,1608
3.7581,1613
3.7637,1616
3.7691,1615
3.7747,1612
3.7803,1613
3.7857,1617
3.7913,1614
3.797,1608
3.8023,1614
3.808,1615
3.8136,1613
3.8193,1610
3.8246,1613
3.8303,1617
3.8359,1613
3.8412,1609
3.8469,1612
3.8525,1618
3.8582,1614
3.8636,1612
3.8692,1613
3.8746,1614
3.8802,1612
3.8859,1611
3.8915,1613
3.8969,1614
3.9025,1609
3.9081,1613
3.9135,1616
3.9191,1614
3.9248,1609
3.9304,1614
3.9358,1615
3.9415,1612
3.9469,1610
3.9526,1613
3.9579,1614
3.9635,1611
3.9692,1613
3.9748,1615
3.9802,1611
3.9858,1608
3.9915,1610
3.9968,1617
4.0025,1613
4.0081,1611
4.0137,1611
4.0191,1616
4.0247,1613
4.0303,1612
4.0357,1614
4.0412,1614
4.0469,1609
4.0525,1614
4.0582,1615
4.0635,1612
4.0691,1610
4.0747,1613
4.0803,1613
4.0859,1608
4.0913,1611
4.0969,1617
4.1025,1612
4.1081,1610
4.1135,1614
4.1192,1616
4.1247,1613
4.1303,1612
4.1359,1615
4.1413,1614
4.1469,1611
4.1525,1611
4.1581,1615
4.1635,1615
4.1691,1611
4.1747,1614
4.1803,1614
4.1859,1612
4.1913,1611
4.1969,1614
4.2026,1615
4.208,1611
4.2136,1611
4.2193,1615
4.2246,1616
4.2303,1613
4.2359,1611
4.2415,1614
4.2469,1613
4.2525,1610
4.2579,1614
4.2636,1613
4.2692,1610
4.2748,1613
4.2802,1613
4.2858,1612
4.2914,1612
4.2968,1615
4.3025,1613
4.3081,1609
4.3137,1614
4.3191,1613
4.3247,1611
4.3304,1611
4.3357,1614
4.3413,1614
4.347,1610
4.3526,1613
4.358,1615
4.3636,1614
4.3692,1612
4.3749,1615
4.3803,1614
4.3859,1610
4.3913,1611
4.397,1613
4.4026,1612
4.408,1612
4.4136,1615
4.4192,1614
4.4246,1612
4.4302,1613
4.4359,1616
4.4415,1611
4.4469,1612
4.4525,1615
4.4581,1612
4.4635,1610
4.4691,1615
4.4747,1612
4.4804,1611
4.4857,1614
4.4914,1615
4.497,1614
4.5026,1610
4.508,1612
4.5136,1614
4.5192,1611
4.5246,1608
4.5302,1612
4.5359,1614
4.5413,1610
4.547,1610
4.5526,1612
4.558,1618
4.5636,1612
4.5693,1609
4.5746,1612
4.5803,1615
4.5859,1612
4.5915,1607
4.5969,1611
4.6025,1615
4.6079,1613
4.6135,1609
4.6192,1610
4.6248,1616
4.6302,1615
4.6358,1610
4.6414,1608
4.647,1615
4.6524,1617
4.658,1610
4.6637,1611
4.6691,1615
4.6747,1616
4.6802,1610
4.6858,1611
4.6915,1614
4.6968,1615
4.7025,1614
4.7081,1610
4.7135,1611
4.7192,1617
4.7248,1614
4.7302,1609
4.7358,1612
4.7415,1615
4.7468,1612
4.7524,1609
4.7581,1612
4.7637,1617
4.7691,1610
4.7747,1609
4.7804,1613
4.786,1614
4.7913,1610
4.797,1610
4.8024,1616
4.808,1617
4.8137,1610
4.8193,1608
4.8246,1615
4.8303,1615
4.8359,1610
4.8413,1612
4.8469,1617
4.8526,1616
4.8582,1608
4.8636,1610
4.8693,1616
4.8746,1613
