Experiment: Feb_22_tst3_chemo_expt vial 9, Mon Feb 22 14:25:18 2021
0.0045,0.912464844214143
0.0102,0.9100090015756297
0.0158,0.9108660805733461
0.0215,0.9005653765049998
0.0272,0.8978784815958033
0.0325,0.9090295468278817
0.0382,0.9060324832901666
0.0438,0.9066044041486598
0.0492,0.9124867538154546
0.0548,0.9095407471977032
0.0605,0.8991579695099647
0.0658,0.8808799607619823
0.0714,0.8657403955253636
0.0771,0.8701117219219823
0.0824,0.8664735695887953
0.0881,0.8519345209072541
0.0937,0.8578286076246051
0.0991,0.8458991041867334
0.1048,0.8353357018046691
0.1104,0.8404280558832731
0.1161,0.845683681870033
0.1216,0.8353257080702347
0.1269,0.8332161387462588
0.1326,0.8380218616919076
0.1382,0.8360590378815295
0.1436,0.8259899639330097
0.1492,0.8208481615299965
0.1549,0.8088486438857986
0.1605,0.8157986450410226
0.1658,0.817245446866583
0.1715,0.8112795214674285
0.1772,0.8086552357150293
0.1825,0.8088539482544088
0.1882,0.7981108935819325
