Experiment: Mar_5_Turb_expt vial 0, Fri Mar  5 17:59:38 2021
0.0053,12732
0.0107,12793
0.0164,12768
0.0218,12737
0.0275,12775
0.0329,12754
0.0384,12756
0.0441,12780
0.0495,12750
0.0552,12751
0.0606,12781
0.0663,12772
0.0717,12736
0.0774,12746
0.0831,12806
0.0885,12792
0.0942,12773
0.0996,12773
0.1052,12786
0.1106,12826
0.1163,12789
0.1217,12774
0.1274,12771
0.1331,12771
0.1385,12794
0.1442,12791
0.1496,12739
0.1553,12765
0.1607,12775
