Experiment: Mar_16_osmo_expt vial 13, Tue Mar 16 20:56:43 2021
0.0015,53992
0.0064,53966
0.0118,53953
0.0175,53960
0.0229,53997
0.0286,53974
0.034,53947
0.0397,53999
0.0451,53984
0.0508,53980
0.0562,53973
0.0619,53989
0.0673,53978
0.073,53973
0.0784,53982
0.0841,53981
0.0897,53995
0.0951,53995
0.1008,53990
0.1062,53954
0.1119,53963
0.1173,53980
0.123,53988
0.1284,53981
0.1341,53964
0.1395,53988
0.1452,53978
0.1505,53963
0.1562,53971
0.1619,53965
0.1673,53972
0.173,53958
0.1784,53959
0.1841,53963
0.1895,53957
0.1952,53953
0.2006,53944
0.2063,53935
0.2117,53951
0.2173,53940
0.2231,53936
0.2285,53922
0.2342,53921
0.2395,53927
0.2452,53926
0.2506,53919
0.2563,53927
0.2617,53950
0.2673,53938
0.273,53930
0.2784,53931
0.284,53927
0.2897,53943
0.2951,53930
0.3008,53926
0.3062,53925
0.3119,53942
0.3173,53940
0.3229,53928
0.3286,53925
0.334,53960
0.3397,53957
0.3451,53941
0.3507,53930
0.3561,53937
0.3618,53960
0.3673,53946
0.3729,53926
0.3785,53934
0.3839,53937
0.3897,53956
0.3951,53945
0.4007,53967
0.4061,53947
0.4118,53944
0.4172,53938
0.4229,53931
0.4283,53932
0.434,53936
0.4397,53932
0.4451,53933
0.4508,53957
0.4562,53961
0.462,53951
0.4674,53935
0.473,53940
0.4785,53952
0.4841,53972
0.4895,53955
0.4952,53940
0.5007,53949
0.5063,53960
0.5117,53960
0.5174,53953
0.5228,53958
0.5285,53970
0.5342,53953
0.5396,53958
0.5453,53959
0.5507,53944
0.5564,53952
0.5618,53961
0.5675,53967
0.5729,53954
0.5786,53978
0.584,53953
0.5897,53943
0.5951,53947
0.6008,53959
0.6062,53943
0.6119,53957
0.6173,53978
0.623,53969
0.6285,53958
0.6341,53981
0.6395,53991
0.6452,53984
0.6506,53994
0.6563,54001
0.6617,54015
0.6674,54018
0.6728,54006
0.6785,54014
0.684,54001
0.6897,53988
0.6951,53985
0.7007,53988
0.7062,53981
0.7119,53998
0.7173,54002
0.723,53975
0.7286,53987
0.7341,54007
0.7398,53983
0.7451,53988
0.7508,53992
0.7562,53993
0.7619,54002
0.7673,53997
0.773,53973
0.7784,53971
0.7841,53975
0.7895,53970
0.7952,53962
0.8006,53969
0.8063,53965
0.812,53964
0.8174,53944
0.8231,53954
0.8285,53982
0.8341,53975
0.8396,53986
0.8453,53973
0.8507,53969
0.8561,53976
0.8618,53975
0.8675,53968
0.8729,53980
0.8786,53995
0.884,53983
0.8897,53997
0.8951,53980
0.9008,53982
0.9062,54012
0.9119,54023
0.9173,53993
0.923,54001
0.9284,54012
0.9341,54029
0.9395,54019
0.9452,54014
0.9507,54007
0.9564,54005
0.9618,54020
0.9675,54012
0.9729,53995
0.9786,54024
0.984,54003
0.9897,54011
0.9951,53989
1.0008,53983
1.0062,54001
1.0119,54002
1.0173,53978
1.023,54000
1.0284,53994
1.0341,54001
1.0395,53985
1.0452,54005
1.0506,54008
1.0563,54017
1.0618,54002
1.0675,53999
1.0729,54032
1.0786,54032
1.084,54010
1.0897,54017
1.0951,54027
1.1007,54032
1.1062,54024
1.1119,54040
1.1173,54045
1.1229,54042
1.1284,54033
