Experiment: April_28_Phage_Osmo_expt vial 6, Wed Apr 28 17:10:55 2021
2.2246,28321
2.2302,28319
2.2359,28319
2.2413,28319
2.2469,28323
2.2525,28311
2.2581,28326
2.2635,28324
2.2691,28333
2.2746,28326
2.2802,28327
2.2859,28329
2.2912,28324
2.2969,28318
2.3026,28333
2.308,28323
2.3136,28327
2.3193,28335
2.3246,28335
2.3302,28339
2.3359,28339
2.3415,28331
2.3468,28324
2.3525,28331
2.3581,28323
2.3635,28333
2.3691,28324
2.3747,28326
2.3803,28323
2.3857,28327
2.3913,28325
2.397,28330
2.4026,28328
2.4079,28328
2.4136,28328
2.4192,28317
2.4246,28318
2.4302,28315
2.4359,28313
2.4412,28325
2.4468,28312
2.4525,28321
2.4581,28332
2.4635,28329
2.4691,28324
2.4747,28330
2.4801,28329
2.4857,28329
2.4913,28336
2.497,28332
2.5023,28337
2.508,28328
2.5136,28329
2.5193,28317
2.5246,28331
2.5302,28318
2.5359,28314
2.5412,28316
2.5468,28321
2.5525,28309
2.5581,28310
2.5634,28308
2.5691,28311
2.5745,28315
2.5802,28313
2.5858,28314
2.5915,28330
2.5968,28324
2.6024,28325
2.608,28324
2.6136,28337
2.6193,28332
2.6246,28326
2.6302,28323
2.6358,28325
2.6415,28326
2.6468,28328
2.6525,28341
2.658,28336
2.6636,28347
2.6693,28352
2.6746,28348
2.6803,28337
2.6858,28350
2.6914,28347
2.6968,28338
2.7025,28328
2.7081,28324
2.7135,28317
2.7191,28320
2.7247,28316
2.7301,28333
2.7358,28336
2.7414,28334
2.747,28331
2.7524,28346
2.758,28341
2.7636,28335
2.769,28333
2.7746,28327
2.7803,28336
2.7859,28341
2.7913,28335
2.797,28339
2.8024,28332
2.808,28337
2.8136,28338
2.8193,28332
2.8246,28342
2.8302,28345
2.8359,28333
2.8412,28337
2.8469,28329
2.8525,28330
2.8581,28335
2.8635,28332
2.8691,28335
2.8748,28329
2.8801,28340
2.8858,28349
2.8914,28349
2.897,28344
2.9024,28349
2.908,28348
2.9136,28347
2.919,28350
2.9247,28358
2.9301,28343
2.9358,28340
2.9414,28348
2.9468,28350
2.9524,28347
2.9581,28347
2.9637,28347
2.9691,28334
2.9747,28342
2.9804,28337
2.9857,28344
2.9914,28335
2.997,28332
3.0024,28335
3.008,28339
3.0136,28338
3.019,28350
3.0246,28332
3.0302,28340
3.0359,28344
3.0415,28335
3.0469,28332
3.0525,28344
3.0581,28344
3.0635,28342
3.0692,28347
3.0748,28352
3.0802,28348
3.0859,28344
3.0912,28346
3.0969,28341
3.1025,28345
3.1081,28340
3.1135,28336
3.1192,28344
3.1248,28347
3.1301,28337
3.1358,28332
3.1414,28339
3.147,28334
3.1524,28341
3.158,28340
3.1637,28340
3.169,28341
3.1747,28343
3.1803,28345
3.1859,28348
3.1913,28349
3.1969,28342
3.2025,28340
3.2082,28333
3.2135,28340
3.2191,28340
3.2248,28338
3.2301,28338
3.2358,28327
3.2415,28336
3.2469,28330
3.2525,28334
3.2581,28337
3.2635,28329
3.2692,28337
3.2748,28338
3.2802,28318
3.2858,28323
3.2914,28334
3.2968,28336
3.3024,28333
3.3081,28335
3.3137,28331
3.319,28331
3.3247,28339
3.3303,28333
3.3359,28339
3.3413,28342
3.3469,28343
3.3525,28345
3.3581,28344
3.3635,28347
3.3691,28339
3.3748,28345
3.3801,28344
3.3857,28328
3.3914,28336
3.397,28333
3.4024,28344
3.408,28334
3.4137,28329
3.419,28335
3.4246,28331
3.4303,28332
3.4359,28332
3.4413,28329
3.4469,28314
3.4526,28321
3.4579,28308
3.4636,28314
3.4692,28306
3.4748,28307
3.4802,28314
3.4858,28325
3.4915,28322
3.4968,28325
3.5025,28324
3.5081,28315
3.5135,28305
3.5191,28318
3.5248,28318
3.5302,28302
3.5359,28316
3.5415,28310
3.5469,28309
3.5525,28314
3.5579,28315
3.5636,28318
3.5692,28321
3.5746,28314
3.5802,28315
3.5859,28307
3.5915,28310
3.5969,28299
3.6025,28302
3.6081,28294
3.6135,28295
3.6191,28300
3.6248,28300
3.6304,28298
3.6358,28285
3.6414,28286
3.647,28295
3.6524,28291
3.658,28303
3.6637,28296
3.669,28293
3.6747,28303
3.6804,28296
3.6857,28299
3.6913,28307
3.697,28303
3.7026,28294
3.708,28295
3.7136,28293
3.7192,28296
3.7246,28294
3.7302,28294
3.7359,28295
3.7412,28301
3.7469,28300
3.7525,28298
3.7581,28296
3.7637,28294
3.7691,28283
3.7747,28289
3.7803,28294
3.7857,28296
3.7913,28295
3.797,28290
3.8023,28289
3.808,28290
3.8136,28302
3.8193,28296
3.8246,28291
3.8303,28288
3.8359,28284
3.8412,28290
3.8469,28281
3.8525,28282
3.8582,28274
3.8636,28276
3.8692,28277
3.8746,28280
3.8802,28283
3.8859,28270
3.8915,28270
3.8969,28284
3.9025,28282
3.9081,28260
3.9135,28271
3.9191,28281
3.9248,28274
3.9304,28269
3.9358,28273
3.9415,28272
3.9469,28272
3.9526,28279
3.9579,28282
3.9635,28280
3.9692,28285
3.9748,28283
3.9802,28277
3.9858,28261
3.9915,28269
3.9968,28267
4.0025,28279
4.0081,28267
4.0137,28274
4.0191,28273
4.0247,28273
4.0303,28276
4.0357,28267
4.0412,28272
4.0469,28271
4.0525,28274
4.0582,28271
4.0635,28277
4.0691,28277
4.0747,28266
4.0803,28276
4.0859,28282
4.0913,28281
4.0969,28288
4.1025,28269
