Experiment: Feb_8_Batch_expt_zeroed vial 8, Mon Feb  8 17:45:11 2021
2.2215,27593
2.227,27569
2.2327,27573
2.2381,27553
2.2437,27545
2.2493,27560
2.2547,27549
2.2603,27533
2.266,27527
2.2713,27483
2.277,27484
2.2826,27474
2.2883,27466
2.2937,27451
2.2993,27439
2.3047,27420
2.3103,27442
2.3159,27403
2.3216,27392
2.3269,27408
2.3326,27387
2.3382,27388
2.3436,27397
2.3493,27364
2.3549,27367
2.3603,27346
2.3659,27343
2.3716,27326
2.3769,27318
2.3826,27271
2.3882,27298
2.3936,27276
2.3992,27283
2.4049,27277
2.4102,27274
2.4159,27244
2.4215,27232
2.4269,27244
2.4325,27225
2.4382,27217
2.4438,27211
2.4492,27202
2.4548,27206
2.4605,27169
2.4659,27155
2.4715,27165
2.4772,27126
2.4826,27134
2.4882,27139
2.4936,27124
2.4992,27119
2.5049,27113
2.5102,27087
2.5159,27092
2.5216,27094
2.527,27069
2.5326,27065
2.538,27050
2.5437,27044
2.5493,27044
2.5547,27025
2.5603,27023
2.566,26981
2.5714,26989
2.577,27005
2.5827,26950
2.5881,26970
2.5938,26952
2.5991,26947
2.6048,26934
2.6105,26932
2.6158,26896
2.6215,26902
2.6272,26900
2.6326,26903
2.6382,26873
2.6436,26860
2.6493,26858
2.6547,26841
2.6603,26850
2.666,26794
2.6714,26792
2.677,26777
2.6825,26750
2.6882,26746
2.6939,26757
2.6993,26738
2.7049,26740
2.7103,26735
2.716,26720
2.7214,26711
2.727,26718
2.7327,26692
2.7381,26707
2.7437,26685
2.7494,26667
2.7548,26669
2.7604,26665
2.7658,26657
2.7715,26654
2.7771,26650
2.7825,26654
2.7881,26641
2.7938,26648
2.7992,26633
2.8049,26639
2.8103,26632
2.8159,26610
2.8216,26598
2.8269,26598
2.8326,26589
2.8382,26561
2.8436,26551
2.8492,26585
2.855,26559
2.8604,26544
2.866,26547
2.8714,26542
2.877,26539
2.8827,26514
2.8883,26532
2.8937,26515
2.8994,26535
2.9048,26501
2.9104,26490
2.9158,26504
2.9214,26510
2.9271,26463
2.9327,26464
2.9381,26441
2.9437,26452
2.9491,26421
2.9548,26420
2.9605,26431
2.9659,26401
2.9716,26403
2.977,26409
2.9827,26380
2.9883,26386
2.9937,26385
2.9994,26372
3.0048,26343
3.0105,26339
3.0159,26354
3.0216,26328
3.0269,26323
3.0326,26307
3.0383,26313
3.0436,26303
3.0493,26296
3.0547,26304
3.0604,26298
3.066,26311
3.0714,26316
3.0771,26317
3.0825,26302
3.0881,26302
3.0937,26275
3.0994,26302
3.1047,26293
3.1103,26286
3.116,26286
3.1214,26273
3.1271,26289
3.1327,26286
3.1381,26256
3.1438,26246
3.1492,26289
3.1548,26271
3.1605,26253
3.1659,26246
3.1715,26257
3.177,26263
3.1826,26262
3.1882,26229
3.1936,26268
3.1993,26247
3.2049,26258
3.2103,26237
3.216,26232
3.2216,26233
3.227,26256
3.2327,26220
3.238,26200
3.2437,26222
3.2494,26201
3.2547,26204
3.2604,26205
3.266,26197
3.2714,26212
3.2771,26195
3.2825,26176
3.2882,26193
3.2938,26181
3.2992,26170
3.3049,26183
3.3103,26209
3.3159,26163
3.3216,26159
3.327,26154
3.3326,26166
3.3381,26179
3.3438,26170
3.3491,26164
3.3548,26156
3.3605,26144
3.3659,26141
3.3715,26162
3.3771,26127
3.3825,26143
3.3882,26137
3.3936,26147
3.3992,26141
3.4049,26127
3.4105,26132
3.4159,26145
3.4215,26125
3.4272,26105
